Exon1	Exon2	gene	cellType	in_in	in_out	out_in	out_out	pval	logOddsRatio	FDR	phastcons_1	phastcons_2	phastcons_mean	LOR_abs	phastcons_min	phastcons_max
chr14_21500495_21500682_-	chr14_21500913_21501129_-	ENSG00000165819.12	pseudoBulk	148	0	2	30	1.23971891722308e-36	12.1163439612375	5.85254451783327e-35	0.997165	0.981682	0.989424	12.1163439612375	0.981682	0.997165
chr4_73113792_73113908_-	chr4_73115821_73115916_-	ENSG00000132466.19	pseudoBulk	565	0	9	35	1.5456932502091e-102	12.1014650728052	2.01296765761229e-100	0.998487	0.999188	0.998838	12.1014650728052	0.998487	0.999188
chr9_97687096_97687261_-	chr9_97689534_97689639_-	ENSG00000136936.11	pseudoBulk	1525	37	2	208	5.53869653959781e-316	12.0655798798498	3.80326306887116e-313	0.995946	0.995075	0.99551	12.0655798798498	0.995075	0.995946
chr19_23807826_23807939_+	chr19_23808719_23808814_+	ENSG00000233836.7	pseudoBulk	88	0	0	12	1.62651653172951e-21	12.0443941193585	4.5502598436732e-20	0.0457456	0.104646	0.0751958	12.0443941193585	0.0457456	0.104646
chr2_158338726_158338907_-	chr2_158338990_158339085_-	ENSG00000153237.18	pseudoBulk	131	0	1	16	8.08953945530935e-30	12.0334230015375	3.11751969943192e-28	0.678247	0.805302	0.741775	12.0334230015375	0.678247	0.805302
chr15_72202454_72202620_-	chr15_72203022_72203188_-	ENSG00000067225.18	pseudoBulk	0	61	91	3	4.28675637812877e-32	-11.8535694770404	1.7408339137607e-30	0.891521	0.998707	0.945114	11.8536	0.891521	0.998707
chr1_146986352_146986524_+	chr1_146988841_146988949_+	ENSG00000268043.7	pseudoBulk	71	1	2	103	7.31048921712745e-37	11.8362476466879	3.4728881534002e-35	0.0624913	0.0745596	0.0685255	11.8362476466879	0.0624913	0.0745596
chr1_29165890_29166064_-	chr1_29166729_29166912_-	ENSG00000116350.17	pseudoBulk	29	0	1	62	7.79791472600295e-20	11.8121773055144	2.03105630928245e-18	0.999103	0.999467	0.999285	11.8121773055144	0.999103	0.999467
chr18_14813104_14813165_+	chr18_14814621_14814711_+	ENSG00000180777.14	pseudoBulk	59	0	0	15	1.68395465894816e-16	11.7895336449704	3.96247779607408e-15	0.00287097	0.00278022	0.0028256	11.7895336449704	0.00278022	0.00287097
chr17_29097788_29097899_-	chr17_29098105_29098224_-	ENSG00000196535.16	pseudoBulk	49	0	0	17	6.08382134454606e-15	11.7021726853655	1.35956893323386e-13	0.91492	0.831817	0.873368	11.7021726853655	0.831817	0.91492
chr10_116901765_116901957_-	chr10_116906627_116906747_-	ENSG00000187164.20	pseudoBulk	12	0	0	68	1.8030533423263e-17	11.6724253419715	4.37914843775308e-16	0.998912	0.999554	0.999233	11.6724253419715	0.998912	0.999554
chr4_3027912_3028001_+	chr4_3029201_3029409_+	ENSG00000125388.20	pseudoBulk	27	0	0	29	5.36524222469865e-13	11.612868497291	1.12885033323487e-11	0.403578	0.6071	0.505339	11.612868497291	0.403578	0.6071
chr14_37247103_37247240_+	chr14_37247829_37247907_+	ENSG00000151338.18	pseudoBulk	129	0	1	12	1.40945483903476e-27	11.5961897561444	5.06959598923626e-26	0.983754	0.976975	0.980365	11.5961897561444	0.976975	0.983754
chr1_236824119_236824219_+	chr1_236825338_236825399_+	ENSG00000116984.13	pseudoBulk	85	0	1	17	3.20034152243948e-21	11.496853777388	8.66430243358206e-20	0.995317	0.741629	0.868473	11.496853777388	0.741629	0.995317
chr8_17934706_17934858_+	chr8_17935134_17935317_+	ENSG00000078674.17	pseudoBulk	50	25	0	715	3.02255964419866e-110	11.4817994316658	4.30765080263986e-108	0.0542157	0.0688533	0.0615345	11.4817994316658	0.0542157	0.0688533
chr16_24750726_24750813_+	chr16_24758339_24758360_+	ENSG00000090905.19	pseudoBulk	77	1	1	36	6.58034430134614e-24	11.4367115421372	2.00418781362011e-22	0.999909	0.999818	0.999864	11.4367115421372	0.999818	0.999909
chr1_32810591_32810766_-	chr1_32810911_32811057_-	ENSG00000134684.10	pseudoBulk	106	1	0	13	9.27461649233932e-24	11.4283601727043	2.8134428238309e-22	0.990597	0.909265	0.949931	11.4283601727043	0.909265	0.990597
chr3_38360339_38360408_+	chr3_38362937_38363017_+	ENSG00000093217.11	pseudoBulk	62	0	0	11	6.12845624917314e-16	11.4136279290242	1.41129800160846e-14	0.913257	0.846938	0.880097	11.4136279290242	0.846938	0.913257
chr5_82252562_82252659_+	chr5_82253314_82253429_+	ENSG00000152348.16	pseudoBulk	102	0	2	26	2.56085375074207e-26	11.3728650601126	8.8324694146123e-25	0.920378	0.570267	0.745322	11.3728650601126	0.570267	0.920378
chr10_103347238_103347297_-	chr10_103347395_103347450_-	ENSG00000156374.16	pseudoBulk	21	0	0	30	7.26360766697805e-12	11.2992080183873	1.47486041281021e-10	0.998767	0.999732	0.999249	11.2992080183873	0.998767	0.999732
chr10_110116259_110116410_+	chr10_110117342_110117422_+	ENSG00000148700.15	pseudoBulk	68	0	0	9	1.98566623256941e-16	11.2573878426927	4.64349741759804e-15	0.991836	0.997383	0.99461	11.2573878426927	0.991836	0.997383
chr14_95140659_95140759_-	chr14_95141683_95141748_-	ENSG00000100697.14	pseudoBulk	233	5	14	660	8.25765008485288e-179	11.1012253419551	3.46517722241565e-176	0.997416	0.997848	0.997632	11.1012253419551	0.997416	0.997848
chr11_47173426_47173482_-	chr11_47173759_47173840_-	ENSG00000149182.15	pseudoBulk	39	0	0	14	4.3055400781219e-12	11.0927571409199	8.88562602939467e-11	0.957719	0.71461	0.836164	11.0927571409199	0.71461	0.957719
chr2_202869536_202869605_-	chr2_202870530_202870656_-	ENSG00000163596.16	pseudoBulk	17	0	1	64	4.34364299898298e-17	11.0874628412503	1.04156181602804e-15	0.110186	0.697543	0.403865	11.0874628412503	0.110186	0.697543
chr11_70365373_70365435_+	chr11_70365941_70365967_+	ENSG00000131626.18	pseudoBulk	16	3	0	196	4.73997037588999e-38	11.0297473433941	2.30985867711164e-36	0.994841	0.996444	0.995642	11.0297473433941	0.994841	0.996444
chr2_127052255_127052362_-	chr2_127053422_127053445_-	ENSG00000136717.15	pseudoBulk	280	41	2	612	1.77266939218761e-165	11.0291188550195	6.08620456491989e-163	0.958648	0.91175	0.935199	11.0291188550195	0.91175	0.958648
chr2_71388623_71388723_+	chr2_71393394_71393645_+	ENSG00000075292.19	pseudoBulk	19	0	2	105	1.27470022394917e-24	10.9621730311097	4.13231691850484e-23	0.209564	0.428599	0.319082	10.9621730311097	0.209564	0.428599
chr9_96933795_96933915_-	chr9_96942603_96942752_-	ENSG00000196312.15	pseudoBulk	17	0	0	27	2.69609909163633e-10	10.8423503434138	5.19506832016269e-09	0.0217603	0.0113067	0.0165335	10.8423503434138	0.0113067	0.0217603
chr1_156407080_156407197_-	chr1_156407842_156407975_-	ENSG00000125462.18	pseudoBulk	99	0	54	478	1.04581094768592e-80	10.7753359258969	9.75235821769566e-79	0.569678	0.0234179	0.296548	10.7753359258969	0.0234179	0.569678
chr4_947709_947892_+	chr4_948116_948615_+	ENSG00000127419.17	pseudoBulk	19	0	0	23	6.85889761387578e-10	10.7714894695006	1.28555527310544e-08	0.329364	0.082618	0.205991	10.7714894695006	0.082618	0.329364
chr5_113524981_113525177_+	chr5_113526586_113526785_+	ENSG00000047188.16	pseudoBulk	138	0	86	544	6.11120644948117e-90	10.7697225433264	6.41115001623342e-88	0.999442	0.998515	0.998978	10.7697225433264	0.998515	0.999442
chr8_38788704_38788819_+	chr8_38819522_38820635_+	ENSG00000147526.20	pseudoBulk	87	0	2	20	1.51789418770107e-21	10.7648715907361	4.26216931623419e-20	0.780103	0.472698	0.626401	10.7648715907361	0.472698	0.780103
chr1_91380912_91380982_-	chr1_91385187_91385234_-	ENSG00000162669.16	pseudoBulk	29	0	0	15	3.01948580533334e-10	10.7648715907361	5.78866278506691e-09	0.998563	0.593063	0.795813	10.7648715907361	0.593063	0.998563
chr20_10292882_10292999_+	chr20_10293161_10293278_+	ENSG00000132639.13	pseudoBulk	0	15	112	2	2.73215875130129e-24	-10.7142455176661	8.74450856732429e-23	0.999754	1	0.999877	10.7142	0.999754	1
chr2_208276712_208276830_+	chr2_208277537_208277708_+	ENSG00000115020.17	pseudoBulk	32	1	0	26	8.10903425549892e-13	10.7004397181411	1.69669356765406e-11	0.996462	0.999151	0.997807	10.7004397181411	0.996462	0.999151
chr2_99462496_99462622_-	chr2_99464922_99464985_-	ENSG00000135945.10	pseudoBulk	582	35	0	48	5.21408435360459e-79	10.6405548266845	4.72984373870135e-77	0.989031	0.993141	0.991086	10.6405548266845	0.989031	0.993141
chr3_129514389_129514554_+	chr3_129517469_129517594_+	ENSG00000163913.12	pseudoBulk	144	0	5	27	1.15029748687237e-31	10.6028844087184	4.59716241136681e-30	0.764639	0.60581	0.685224	10.6028844087184	0.60581	0.764639
chr8_97686668_97686752_+	chr8_97687429_97687605_+	ENSG00000147649.10	pseudoBulk	335	10	0	23	1.5274475349948e-53	10.5896511465148	1.03940500426603e-51	0.999882	0.999277	0.99958	10.5896511465148	0.999277	0.999882
chr12_75298687_75298780_-	chr12_75298871_75298966_-	ENSG00000180881.19	pseudoBulk	30	2	0	50	6.13649342049908e-17	10.5507467853832	1.46609595095104e-15	0.679883	0.911177	0.79553	10.5507467853832	0.679883	0.911177
chr10_7774831_7774891_-	chr10_7775751_7775799_-	ENSG00000151657.12	pseudoBulk	690	68	0	71	2.09206259227091e-84	10.4927368299199	2.07923014012257e-82	0.547803	0.759	0.653401	10.4927368299199	0.547803	0.759
chr14_88601924_88602083_+	chr14_88602828_88603060_+	ENSG00000100722.20	pseudoBulk	16	0	0	22	5.48734740921708e-09	10.4594316186373	9.77547974820217e-08	0.994581	0.994592	0.994587	10.4594316186373	0.994581	0.994592
chr2_84525565_84525738_+	chr2_84528904_84529166_+	ENSG00000115423.19	pseudoBulk	17	0	0	20	8.83041324089149e-09	10.4093909361377	1.55839928102845e-07	0.31292	0.548369	0.430644	10.4093909361377	0.31292	0.548369
chr14_92010986_92011072_-	chr14_92011755_92011795_-	ENSG00000100815.12	pseudoBulk	234	0	21	59	4.36525087236889e-47	10.3606903461665	2.63779277908194e-45	0.759322	0.822122	0.790722	10.3606903461665	0.759322	0.822122
chr6_72260705_72260767_+	chr6_72265960_72266049_+	ENSG00000079841.18	pseudoBulk	19	0	0	17	1.46481320164421e-08	10.3353903546939	2.53768221724358e-07	0.997937	0.998978	0.998457	10.3353903546939	0.997937	0.998978
chr2_233434380_233434484_+	chr2_233434769_233434901_+	ENSG00000077044.10	pseudoBulk	40	0	0	8	1.46873508535651e-10	10.3219280948874	2.88153713120861e-09	0.966933	0.890398	0.928666	10.3219280948874	0.890398	0.966933
chr1_113672615_113672741_+	chr1_113673322_113673465_+	ENSG00000081026.19	pseudoBulk	40	0	0	8	1.46873508535651e-10	10.3219280948874	2.88153713120861e-09	0.650882	0.976299	0.81359	10.3219280948874	0.650882	0.976299
chr2_55876623_55876742_-	chr2_55877746_55877865_-	ENSG00000115380.20	pseudoBulk	114	0	2	11	1.73492752999916e-22	10.292321632802	5.04021973838469e-21	0.997308	0.94925	0.973279	10.292321632802	0.94925	0.997308
chr2_109585126_109585321_-	chr2_109585721_109585838_-	ENSG00000186522.15	pseudoBulk	66	2	0	19	3.24317690848574e-17	10.292321632802	7.80157829519472e-16	0.989015	0.961161	0.975088	10.292321632802	0.961161	0.989015
chr5_111374850_111374912_+	chr5_111376860_111376942_+	ENSG00000152495.11	pseudoBulk	56	1	0	11	1.42849459395874e-13	10.2667865406949	3.05664762886022e-12	0.999143	0.999614	0.999378	10.2667865406949	0.999143	0.999614
chr3_131132745_131132809_+	chr3_131133830_131133956_+	ENSG00000114670.14	pseudoBulk	33	0	0	9	1.71736462780025e-09	10.2143191208008	3.14852233031869e-08	0.989462	0.879291	0.934376	10.2143191208008	0.879291	0.989462
chr10_17161483_17161548_-	chr10_17162166_17162237_-	ENSG00000107614.22	pseudoBulk	37	0	0	8	5.70799770463435e-10	10.2094533656289	1.07786725555149e-08	0.970682	0.889097	0.92989	10.2094533656289	0.889097	0.970682
chr2_211657754_211657828_-	chr2_211657950_211657994_-	ENSG00000178568.15	pseudoBulk	0	44	63	5	3.14520116891095e-21	-10.1147834472499	8.54565021794759e-20	0.99916	0.998733	0.998946	10.1148	0.998733	0.99916
chr8_100038931_100039032_-	chr8_100039962_100040087_-	ENSG00000132554.20	pseudoBulk	23	1	0	24	2.06573018044841e-10	10.1085244567782	4.04229281998346e-09	0.997255	0.886675	0.941965	10.1085244567782	0.886675	0.997255
chr7_128806688_128806858_+	chr7_128807360_128807545_+	ENSG00000128596.17	pseudoBulk	12	1	0	45	7.46944492946177e-12	10.0768155970508	1.51258914053195e-10	0.623836	0.439366	0.531601	10.0768155970508	0.439366	0.623836
chr5_103186320_103186439_+	chr5_103187314_103187376_+	ENSG00000145725.19	pseudoBulk	94	28	0	158	5.29909178080471e-41	10.0510146777971	2.92161075583657e-39	0.999758	0.999794	0.999776	10.0510146777971	0.999758	0.999794
chr1_39523562_39523697_-	chr1_39523807_39523896_-	ENSG00000243970.3	pseudoBulk	74	47	0	314	2.57613871202985e-51	9.94948526284294	1.69204879806733e-49	0.00525735	0.0122778	0.00876757	9.94948526284294	0.00525735	0.0122778
chr19_11513056_11513279_-	chr19_11513804_11514221_-	ENSG00000130159.14	pseudoBulk	35	0	0	7	3.11825219277384e-09	9.93663793900257	5.63477312917891e-08	0.644143	0.407699	0.525921	9.93663793900257	0.407699	0.644143
chr3_39110851_39111017_+	chr3_39112458_39112580_+	ENSG00000168026.18	pseudoBulk	24	0	0	10	6.02943142209324e-08	9.90689059560852	1.02342925960657e-06	0.376503	0.830894	0.603699	9.90689059560852	0.376503	0.830894
chr1_86728403_86728441_+	chr1_86730088_86730111_+	ENSG00000097033.14	pseudoBulk	12	0	0	20	1.2937394003461e-07	9.90689059560852	2.17641616987988e-06	0.996897	0.998583	0.99774	9.90689059560852	0.996897	0.998583
chr15_30835171_30835289_+	chr15_30836194_30836319_+	ENSG00000259845.1	pseudoBulk	7	0	0	34	4.86882136792208e-09	9.89481776330794	8.69410646080211e-08	0.770092	0.944294	0.857193	9.89481776330794	0.770092	0.944294
chr3_167602127_167602275_-	chr3_167604301_167604468_-	ENSG00000174776.11	pseudoBulk	32	0	0	7	1.1886326453762e-08	9.8073549220576	2.06870900334994e-07	0.941698	0.472125	0.706912	9.8073549220576	0.472125	0.941698
chr3_115816614_115816646_-	chr3_115834562_115834597_-	ENSG00000185565.12	pseudoBulk	93	5	10	474	1.72220333286182e-105	9.78404587023157	2.32293939129635e-103	0.998515	0.998472	0.998494	9.78404587023157	0.998472	0.998515
chr19_38727946_38728026_+	chr19_38728316_38728381_+	ENSG00000130402.12	pseudoBulk	0	48	9	1	2.54380531139635e-11	-9.75488750216347	5.11019538134267e-10	0.961519	0.995985	0.978752	9.75489	0.961519	0.995985
chr20_10597695_10597885_+	chr20_10597981_10598101_+	ENSG00000149346.15	pseudoBulk	9	0	0	24	1.12215650833036e-07	9.75488750216347	1.896214179284e-06	0.130581	0.0365207	0.0835509	9.75488750216347	0.0365207	0.130581
chr17_59257122_59257240_+	chr17_59257751_59257840_+	ENSG00000153982.11	pseudoBulk	85	0	4	19	4.57315834129538e-19	9.65731844958129	1.17094286050959e-17	0.997765	0.992078	0.994922	9.65731844958129	0.992078	0.997765
chr17_64886086_64886166_-	chr17_64886815_64886886_-	ENSG00000176809.10	pseudoBulk	13	0	0	15	9.03362553870657e-07	9.60733031374961	1.44871400108309e-05	0.0865926	0.145111	0.115852	9.60733031374961	0.0865926	0.145111
chr1_206599463_206599612_-	chr1_206599733_206599836_-	ENSG00000143486.16	pseudoBulk	48	1	11	174	1.16785682042131e-38	9.56847437793259	5.84190021257755e-37	0.99844	0.998596	0.998518	9.56847437793259	0.99844	0.998596
chr17_78202499_78202603_+	chr17_78202703_78202751_+	ENSG00000183077.15	pseudoBulk	21	0	0	9	4.59428390319669e-07	9.56224242422107	7.52763206844371e-06	0.0561905	0.33649	0.19634	9.56224242422107	0.0561905	0.33649
chr1_36139720_36139819_-	chr1_36140069_36140166_-	ENSG00000054116.12	pseudoBulk	81	0	2	9	9.74738536636191e-16	9.50977500432694	2.23108274162633e-14	0.99374	0.992806	0.993273	9.50977500432694	0.992806	0.99374
chr18_23612092_23612190_-	chr18_23619531_23619629_-	ENSG00000154065.17	pseudoBulk	20	0	0	9	7.36966793715366e-07	9.49185309632967	1.19198974624993e-05	0.84701	0.926162	0.886586	9.49185309632967	0.84701	0.926162
chr3_53673023_53673126_+	chr3_53673713_53673816_+	ENSG00000157388.19	pseudoBulk	0	18	10	0	1.06117416569262e-06	-9.49185309632967	1.69818949555963e-05	1	0.999788	0.999894	9.49185	0.999788	1
chr1_234400231_234400323_-	chr1_234400853_234400948_-	ENSG00000059588.10	pseudoBulk	87	0	22	87	2.7498803140763e-28	9.42645537306016	9.98600863547998e-27	0.186667	0.999177	0.592922	9.42645537306016	0.186667	0.999177
chr12_123654924_123654998_+	chr12_123655771_123655824_+	ENSG00000111358.14	pseudoBulk	30	0	1	11	1.09378063733504e-08	9.36632221424582	1.91687785910886e-07	0.982107	0.861944	0.922025	9.36632221424582	0.861944	0.982107
chr12_96564468_96564554_+	chr12_96564644_96564765_+	ENSG00000188596.11	pseudoBulk	9	0	0	18	1.90603767167725e-06	9.33985000288462	2.99938159937778e-05	0.290667	0.57532	0.432994	9.33985000288462	0.290667	0.57532
chr7_152852126_152852251_+	chr7_152853494_152853577_+	ENSG00000133627.18	pseudoBulk	23	0	0	7	6.802286062944e-07	9.33091687811462	1.10258087565591e-05	0.851643	0.877464	0.864553	9.33091687811462	0.851643	0.877464
