TSS	size	covered	sum	mean	phastcons	Gene	Exon	Inclusion	Exclusion	dPI	pval	dPSI	logOddsRatio	nrow	FDR
chr1_10210618_10210628_+	11	11	0.053	0.00481818	0.00481818	ENSG00000054523.17	chr1_10258493_10258672_+	52	18	-0.0187521309239686	0.474868353604959	0.0741182710156457	NA	5	1
chr1_10210587_10210593_+	7	7	0.707	0.101	0.101	ENSG00000054523.17	chr1_10272241_10272306_+	34	10	-0.00259894959120688	0.351119986935731	-0.108235421517137	NA	6	1
chr1_103525691_103525730_+	40	40	6.857	0.171425	0.171425	ENSG00000185946.16	chr1_103526067_103526262_+	1598	911	0.00777979431336961	0.360139493583164	-0.00777979431336963	-0.314786954463515	2	1
chr1_103525672_103525678_+	7	7	0	0	0	ENSG00000185946.16	chr1_103537342_103537484_+	19	2	0.00182219926538109	0.0254435448572858	-0.131219869146006	NA	5	1
chr1_103525672_103525678_+	7	7	0	0	0	ENSG00000185946.16	chr1_103537342_103537488_+	2	19	-0.00236742424242424	0.0215354114222115	0.130445075757576	NA	4	1
chr1_10472475_10472537_-	63	63	0.651	0.0103333	0.0103333	ENSG00000160049.12	chr1_10463058_10463209_-	7	9	-0.205357142857143	0.448445656807335	0.205357142857143	1.21056698593966	2	1
chr1_107965211_107965253_-	43	43	7.596	0.176651	0.176651	ENSG00000134215.16	chr1_107874901_107875017_-	14	9	0.012987012987013	0.322974216618325	-0.136672850958565	NA	3	1
chr1_108692556_108692604_+	49	49	40.397	0.824429	0.824429	ENSG00000134186.12	chr1_108693590_108693642_+	8	24	0.0464831804281345	0.290505309872715	-0.130581039755352	NA	3	1
chr1_108692286_108692374_+	89	89	58.288	0.654921	0.654921	ENSG00000134186.12	chr1_108695702_108695780_+	6	86	0.00862068965517238	0.999999999999999	-0.00862068965517243	0.0655883416275769	2	1
chr1_108692286_108692374_+	89	89	58.288	0.654921	0.654921	ENSG00000134186.12	chr1_108696277_108696337_+	34	57	0.00387596899224807	0.73798244110701	-0.0378476972184223	NA	3	1
chr1_108746630_108746654_+	25	25	0.996	0.03984	0.03984	ENSG00000116266.11	chr1_108753063_108753144_+	12	0	0.0425531914893617	0.425247717108698	-0.0425531914893617	-1.67807190511264	2	1
chr1_108746630_108746654_+	25	25	0.996	0.03984	0.03984	ENSG00000116266.11	chr1_108756690_108756766_+	5	7	-0.105050505050505	0.00209200263106244	-0.105050505050505	2.68182403997375	2	0.329030087913889
chr1_109283098_109283123_-	26	26	1.111	0.0427308	0.0427308	ENSG00000134222.16	chr1_109281619_109282060_-	17	69	0.204260651629073	0.123098831252766	-0.204260651629073	-1.47079148080185	2	1
chr1_109283098_109283123_-	26	26	1.111	0.0427308	0.0427308	ENSG00000134222.16	chr1_109282518_109282575_-	80	7	0.0566666666666666	0.939732880299745	-0.0566666666666667	-0.344648171387446	2	1
chr1_109283098_109283123_-	26	26	1.111	0.0427308	0.0427308	ENSG00000134222.16	chr1_109282680_109282731_-	20	67	-0.107810781078108	0.341051341064361	0.107810781078108	0.656698254320071	2	1
chr1_109283098_109283123_-	26	26	1.111	0.0427308	0.0427308	ENSG00000134222.16	chr1_109282680_109282736_-	51	36	0.0248799650807507	0.90504659135759	-0.0248799650807507	-0.154577037108876	2	1
chr1_109739891_109739938_-	48	48	29.208	0.6085	0.6085	ENSG00000134202.11	chr1_109738285_109738366_-	13	0	0.128712871287129	0.126755820018694	-0.128712871287129	-2.88486428927852	2	1
chr1_109739891_109739938_-	48	48	29.208	0.6085	0.6085	ENSG00000134202.11	chr1_109739429_109739493_-	13	0	0.115044247787611	0.417956980276005	-0.115044247787611	-1.75702324650746	2	1
chr1_110015438_110015448_+	11	11	11	1	1	ENSG00000168710.18	chr1_110019548_110019626_+	62	10	-0.0101250744490768	1.64691325510799e-06	0.31685527099464	NA	3	0.000628050431475382
chr1_11059977_11059991_-	15	15	5.016	0.3344	0.3344	ENSG00000116649.10	chr1_11055781_11055926_-	8	21	-0.0341013824884793	0.012851964475789	0.119420671494404	NA	5	1
chr1_11059977_11059991_-	15	15	5.016	0.3344	0.3344	ENSG00000116649.10	chr1_11056011_11056094_-	23	6	-0.00571564658251965	0.338824207131194	0.123561165356831	NA	5	1
chr1_11059977_11059991_-	15	15	5.016	0.3344	0.3344	ENSG00000116649.10	chr1_11059225_11059345_-	27	2	-0.0124223602484472	0.999999999999999	-0.0124223602484472	0.15200309344505	2	1
chr1_11098106_11098118_-	13	13	12.906	0.992769	0.992769	ENSG00000171824.14	chr1_11091493_11091597_-	21	1	0.0297568290746567	0.384514583966206	0.0297568290746567	-1.68239665162678	2	1
chr1_111619760_111619809_+	50	50	39.908	0.79816	0.79816	ENSG00000116473.14	chr1_111691334_111691417_+	42	29	-0.255704169944925	0.0109245448139415	0.255704169944925	-1.55312641359915	2	1
chr1_111619760_111619809_+	50	50	39.908	0.79816	0.79816	ENSG00000116473.14	chr1_111695341_111695409_+	35	7	-0.0569620253164557	0.917661083655658	-0.0569620253164557	-0.330148601692331	2	1
chr1_111619760_111619809_+	50	50	39.908	0.79816	0.79816	ENSG00000116473.14	chr1_111704343_111704486_+	25	9	0.134615384615385	0.374522899954692	0.134615384615385	0.806506527419283	2	1
chr1_11262495_11262526_-	32	32	29.221	0.913156	0.913156	ENSG00000198793.13	chr1_11253839_11253973_-	49	24	0.00769230769230766	0.999999999999999	0.00769230769230766	-0.047449345127511	2	1
chr1_11262495_11262526_-	32	32	29.221	0.913156	0.913156	ENSG00000198793.13	chr1_11256933_11257165_-	74	4	0.190967108492882	0.136211925717509	-0.190967108492882	-1.39002561127077	2	1
chr1_11262495_11262526_-	32	32	29.221	0.913156	0.913156	ENSG00000198793.13	chr1_11258485_11258593_-	78	0	0.362790697674419	0.0827045118752331	0.362790697674419	-3.18737013590172	2	1
chr1_11262495_11262526_-	32	32	29.221	0.913156	0.913156	ENSG00000198793.13	chr1_11259248_11259423_-	75	3	0.199186991869919	0.149509303075307	-0.199186991869919	-1.52837897235479	2	1
chr1_11262495_11262526_-	32	32	29.221	0.913156	0.913156	ENSG00000198793.13	chr1_11259248_11259450_-	3	75	-0.160576923076923	0.327503568582231	-0.160576923076923	1.17353625499469	2	1
chr1_112619157_112619198_+	42	42	37.965	0.903929	0.903929	ENSG00000116489.13	chr1_112649418_112649469_+	1	11	-0.0799868334430546	0.326273457644238	0.0799868334430547	1.92337871839709	2	1
chr1_113759465_113759552_-	88	88	3.387	0.0384886	0.0384886	ENSG00000116793.16	chr1_113749506_113749589_-	13	115	-0.00511415525114156	0.573584232834329	0.0434703196347032	NA	3	1
chr1_113759445_113759458_-	14	14	0.023	0.00164286	0.00164286	ENSG00000116793.16	chr1_113758659_113758733_-	5	5	0.0106292517006803	0.0216491914701771	-0.172619047619048	NA	3	1
chr1_113759445_113759458_-	14	14	0.023	0.00164286	0.00164286	ENSG00000116793.16	chr1_113758659_113758848_-	2	8	-0.0090702947845805	0.725320606330363	0.0566893424036281	NA	3	1
chr1_11691518_11691605_-	88	88	42.698	0.485205	0.485205	ENSG00000116670.15	chr1_11675658_11675731_-	7	1	0.0601118359739049	0.537971327312457	-0.060111835973905	-1.54862065365744	2	1
chr1_11691518_11691605_-	88	88	42.698	0.485205	0.485205	ENSG00000116670.15	chr1_11675658_11676140_-	1	7	-0.0601118359739049	0.537971327312457	0.060111835973905	1.54862065365744	2	1
chr1_11681099_11681179_-	81	81	4.931	0.0608765	0.0608765	ENSG00000116670.15	chr1_11676046_11676140_-	66	29	-0.0625570776255708	0.501202776878597	0.0625570776255708	-1.62094179782672	2	1
chr1_11806184_11806210_+	27	27	22.473	0.832333	0.832333	ENSG00000011021.23	chr1_11819488_11819554_+	25	5	-0.0556956704497688	0.646206741963326	0.0556956704497688	0.58953523051098	2	1
chr1_13749371_13749401_+	31	31	30.932	0.997806	0.997806	ENSG00000116731.22	chr1_13769039_13769173_+	1	38	-0.0751152073732719	0.851682431664407	0.0751152073732719	0.934036737621642	2	1
chr1_13700177_13700210_+	34	34	21.066	0.619588	0.619588	ENSG00000116731.22	chr1_13773078_13773188_+	12	0	0.0731707317073171	0.000636792342884754	-0.213821138211382	NA	3	0.131313905310119
chr1_1399166_1399177_-	12	12	11.416	0.951333	0.951333	ENSG00000221978.12	chr1_1395394_1395514_-	38	5	-0.00755052187430601	0.999999999999996	0.00755052187430605	0.141745188079611	2	1
chr1_1399166_1399177_-	12	12	11.416	0.951333	0.951333	ENSG00000221978.12	chr1_1398233_1398342_-	46	0	0.0775716694772344	0.34442223915699	0.0775716694772344	-1.88759655190175	2	1
chr1_1407215_1407225_-	11	11	0.072	0.00654545	0.00654545	ENSG00000242485.6	chr1_1405809_1405886_-	28	8	-0.111986001749781	0.101628124749171	0.111986001749781	-1.20546911829998	2	1
chr1_1407215_1407225_-	11	11	0.072	0.00654545	0.00654545	ENSG00000242485.6	chr1_1406909_1407019_-	36	1	0.0408045977011494	0.99999999999999	-0.0408045977011494	0.640671933307444	2	1
chr1_145824001_145824023_-	23	23	1.555	0.0676087	0.0676087	ENSG00000265491.5	chr1_145784539_145784596_-	38	13	-0.017345249917246	0.027974731203878	0.158258854683879	NA	4	1
chr1_145995212_145995247_-	36	36	35.942	0.998389	0.998389	ENSG00000265972.6	chr1_145994929_145995031_-	13	1	0.322222222222222	0.170293561677148	0.322222222222222	-2.61297687689075	2	1
chr1_150067731_150067816_+	86	86	30.309	0.35243	0.35243	ENSG00000136631.15	chr1_150076233_150076312_+	5	110	-0.158730158730159	0.522639548446705	-0.158730158730159	-1	2	1
chr1_150272697_150272733_+	37	37	18.907	0.511	0.511	ENSG00000118292.9	chr1_150276522_150276632_+	13	15	-0.0111111111111111	1	0.0111111111111112	0.07716786052246	2	1
chr1_150272697_150272733_+	37	37	18.907	0.511	0.511	ENSG00000118292.9	chr1_150279640_150279741_+	9	4	0.466666666666667	0.0036483843797989	0.466666666666667	-3.28540221886225	2	0.515562136773658
chr1_150364669_150364718_+	50	50	49.576	0.99152	0.99152	ENSG00000163125.15	chr1_150440923_150441023_+	27	145	0.0730463170781472	0.436294912111222	-0.0730463170781473	1.15994091286969	2	1
chr1_150364625_150364644_+	20	20	19.939	0.99695	0.99695	ENSG00000163125.15	chr1_150441881_150441958_+	1	11	-0.0108024691358025	0.999999999999996	0.0108024691358025	0.137503523749935	2	1
chr1_150629571_150629619_-	49	49	47.815	0.975816	0.975816	ENSG00000143420.19	chr1_150625642_150625808_-	40	200	0.00898472596585798	0.999999999999999	-0.00898472596585805	0.263034405833794	2	1
chr1_150629113_150629155_-	43	43	23.559	0.547884	0.547884	ENSG00000143420.19	chr1_150627467_150627592_-	14	7	0.0193339646464646	0.454859909143788	-0.0193339646464646	-0.658565590761154	2	1
chr1_150876572_150876606_-	35	35	20.876	0.596457	0.596457	ENSG00000143437.21	chr1_150846263_150846307_-	18	29	0.0194508009153318	0.999999999999999	0.0194508009153318	0.15994091286969	2	1
chr1_151059549_151059558_-	10	10	0.037	0.0037	0.0037	ENSG00000197622.13	chr1_151055677_151055993_-	4	6	-0.0630081300813008	0.547506635884516	-0.0630081300813008	0.915111102413487	2	1
chr1_151059549_151059558_-	10	10	0.037	0.0037	0.0037	ENSG00000197622.13	chr1_151056651_151056786_-	1	9	-0.0472573839662447	0.930306175849197	0.0472573839662448	0.84799690655495	2	1
chr1_151459336_151459356_-	21	21	20.601	0.981	0.981	ENSG00000143442.22	chr1_151429603_151429711_-	6	10	-0.0665997322623829	0.000714525829294861	0.187248995983936	NA	5	0.144576905108598
chr1_151459336_151459356_-	21	21	20.601	0.981	0.981	ENSG00000143442.22	chr1_151440928_151441086_-	9	24	-0.00319417203698515	0.887868307784463	-0.0381059120201737	NA	4	1
chr1_153536025_153536029_-	5	5	0.014	0.0028	0.0028	ENSG00000197956.10	chr1_153535202_153535360_-	40	13	-0.0168918918918919	0.159613689269357	0.0831081081081081	NA	3	1
chr1_153922776_153922866_-	91	91	88.167	0.968868	0.968868	ENSG00000143614.10	chr1_153828013_153828348_-	15	1	0.0959470636889992	0.228445791152648	0.0959470636889992	-2.14135584924554	2	1
chr1_1540589_1540637_-	49	49	6.042	0.123306	0.123306	ENSG00000205090.9	chr1_1539684_1539790_-	39	44	0.0236185383244206	0.971395760992116	-0.0236185383244207	0.311397427395193	2	1
chr1_153990752_153990773_+	22	22	4.452	0.202364	0.202364	ENSG00000177954.14	chr1_153991115_153991223_+	65	87	0.0671852899575672	0.259662060329145	-0.0671852899575672	1.06485114434997	2	1
chr1_153990752_153990773_+	22	22	4.452	0.202364	0.202364	ENSG00000177954.14	chr1_153991566_153991676_+	130	22	-0.0781433607520564	0.451567730620688	-0.0781433607520564	-1.60698880705116	2	1
chr1_154272598_154272671_+	74	74	20.5	0.277027	0.277027	ENSG00000143575.15	chr1_154273774_154273961_+	97	39	0.0347708286294875	0.690051401680837	-0.0347708286294875	0.729548122603723	2	1
chr1_154272598_154272671_+	74	74	20.5	0.277027	0.277027	ENSG00000143575.15	chr1_154274950_154275001_+	118	16	-0.078125	0.523831369693784	0.078125	-1.43928504552552	2	1
chr1_154272598_154272671_+	74	74	20.5	0.277027	0.277027	ENSG00000143575.15	chr1_154275154_154275260_+	118	16	-0.078125	0.523831369693784	0.078125	-1.43928504552552	2	1
chr1_154328789_154328814_+	26	26	6.176	0.237538	0.237538	ENSG00000143515.18	chr1_154334503_154334591_+	5	3	-0.00588235294117645	0.999999999999999	0.00588235294117656	0.0406419844973458	2	1
chr1_154608141_154608219_-	79	79	49.61	0.627975	0.627975	ENSG00000160710.17	chr1_154602381_154602626_-	4	56	0.108333333333333	0.706916119949777	0.108333333333333	-0.695145418471579	2	1
chr1_155127891_155127901_+	11	11	0.053	0.00481818	0.00481818	ENSG00000169242.12	chr1_155131339_155131634_+	24	7	0.0523809523809524	0.220598328319922	-0.15	NA	3	1
chr1_155127912_155127922_+	11	11	8.331	0.757364	0.757364	ENSG00000169242.12	chr1_155133503_155133568_+	8	3	-0.0158730158730159	0.0774412716244569	0.253968253968254	NA	3	1
chr1_155857177_155857227_-	51	51	28.573	0.560255	0.560255	ENSG00000116580.18	chr1_155831535_155831620_-	61	2475	0.00671550671550669	0.999999999999997	-0.00671550671550672	0.286881147788162	2	1
chr1_155857177_155857227_-	51	51	28.573	0.560255	0.560255	ENSG00000116580.18	chr1_155853271_155853806_-	31	2517	0.00732906799083266	0.999999999999997	-0.0073290679908327	0.314918291977691	2	1
chr1_155859418_155859439_-	22	22	2.17	0.0986364	0.0986364	ENSG00000116580.18	chr1_155853276_155853806_-	99	3	-0.0258551036897387	0.595376531363926	0.0258551036897388	0.788495894806288	2	1
chr1_155934371_155934395_-	25	25	24.823	0.99292	0.99292	ENSG00000132680.11	chr1_155925632_155925843_-	8	4	0.0854700854700855	0.77821162401824	0.0854700854700855	-0.637429920615292	2	1
chr1_155934371_155934395_-	25	25	24.823	0.99292	0.99292	ENSG00000132680.11	chr1_155926676_155926839_-	13	15	-0.0302600472813239	0.929333542430758	-0.0302600472813239	0.206450877467426	2	1
chr1_155934371_155934395_-	25	25	24.823	0.99292	0.99292	ENSG00000132680.11	chr1_155927104_155927156_-	23	10	-0.0117698343504795	0.999999999999999	-0.0117698343504795	0.0784740580230848	2	1
chr1_155934371_155934395_-	25	25	24.823	0.99292	0.99292	ENSG00000132680.11	chr1_155929296_155929375_-	33	0	0.311320754716981	0.066945845984864	0.311320754716981	-3.31400117911573	2	1
chr1_155934371_155934395_-	25	25	24.823	0.99292	0.99292	ENSG00000132680.11	chr1_155933633_155933849_-	33	6	0.103825136612022	0.293891917190842	-0.103825136612022	-0.890588783279418	2	1
chr1_156136205_156136238_+	34	34	15.544	0.457176	0.457176	ENSG00000160789.20	chr1_156137654_156137743_+	8	14	0.0166666666666667	0.184234533771305	-0.205952380952381	NA	4	1
chr1_156338202_156338222_-	21	21	6.021	0.286714	0.286714	ENSG00000163468.15	chr1_156335827_156335888_-	10	2	0.0220797720797721	0.999999999999997	0.0220797720797721	-0.41119543298445	2	1
chr1_156420337_156420356_-	20	20	19.911	0.99555	0.99555	ENSG00000125462.18	chr1_156414654_156414753_-	23	10	0.0501422475106686	0.000908284079465593	-0.197937411095306	NA	3	0.170846717851565
chr1_1574616_1574652_-	37	37	1.124	0.0303784	0.0303784	ENSG00000160075.12	chr1_1564773_1564916_-	50	8	0.0580712788259958	0.000161811612417119	-0.323689727463312	NA	3	0.0398637265925508
chr1_156619407_156619442_+	36	36	29.959	0.832194	0.832194	ENSG00000132702.13	chr1_156623807_156624160_+	15	49	-0.373667711598746	0.000380049448220783	-0.373667711598746	2.93021166984314	2	0.0833281090536903
chr1_156623500_156623510_+	11	11	0.101	0.00918182	0.00918182	ENSG00000132702.13	chr1_156624351_156624467_+	17	3	0.220023478115043	1.39578970898002e-10	-0.521214153949354	NA	3	8.09515946177488e-08
chr1_156656852_156656860_+	9	9	0.037	0.00411111	0.00411111	ENSG00000132692.19	chr1_156658127_156658271_+	13	0	0.171052631578947	0.0405562967615021	0.171052631578947	-3.58114078976875	2	1
chr1_156656852_156656860_+	9	9	0.037	0.00411111	0.00411111	ENSG00000132692.19	chr1_156658543_156658733_+	13	0	0.136842105263158	0.456258563226837	-0.136842105263158	-1.66481580841037	2	1
chr1_159171608_159171622_+	15	15	14.992	0.999467	0.999467	ENSG00000162706.13	chr1_159193870_159194040_+	23	48	-0.101648351648352	0.316599984137787	0.101648351648352	-1.38332863955151	2	1
chr1_160343187_160343202_-	16	16	0.473	0.0295625	0.0295625	ENSG00000122218.16	chr1_160339909_160339982_-	1	14	-0.00903360636397344	0.448747078527443	0.0422354805002191	NA	3	1
chr1_160343209_160343234_-	26	26	2.631	0.101192	0.101192	ENSG00000122218.16	chr1_160340181_160340294_-	47	11	-0.00455568053993251	0.184064862067804	0.0236220472440945	NA	3	1
chr1_161098390_161098419_+	30	30	6.751	0.225033	0.225033	ENSG00000162755.14	chr1_161098666_161099062_+	4	3	-0.0730769230769231	0.621726188997736	0.0730769230769232	1.08246216019197	2	1
chr1_161102359_161102379_-	21	21	20.902	0.995333	0.995333	ENSG00000143256.5	chr1_161102048_161102171_-	47	0	0.0738993710691824	0.0100276808697869	-0.0738993710691824	-3.98182164792679	2	1
chr1_161749763_161749824_+	62	62	8.259	0.13321	0.13321	ENSG00000081721.12	chr1_161751655_161751781_+	91	21	0.120879120879121	0.138796054288608	0.120879120879121	1.63005039024969	2	1
chr1_161749763_161749824_+	62	62	8.259	0.13321	0.13321	ENSG00000081721.12	chr1_161751668_161751781_+	19	93	-0.138333333333333	0.094120071486132	-0.138333333333333	-1.8058044704942	2	1
chr1_161749763_161749824_+	62	62	8.259	0.13321	0.13321	ENSG00000081721.12	chr1_161753075_161753261_+	13	95	-0.100961538461538	0.420456664513011	0.100961538461538	-1.2844533894687	2	1
chr1_1659167_1659217_-	51	51	0.225	0.00441176	0.00441176	ENSG00000248333.8	chr1_1652469_1652566_-	1	20	-0.0267210144927536	0.819945467728896	0.0267210144927537	0.931828497358421	2	1
chr1_1658958_1659018_-	61	61	4.842	0.079377	0.079377	ENSG00000248333.8	chr1_1657256_1657302_-	100	563	0.0078996902372872	0.470172910436576	-0.0208830460494138	NA	3	1
chr1_1658958_1659018_-	61	61	4.842	0.079377	0.079377	ENSG00000248333.8	chr1_1657256_1657498_-	250	413	-0.0110625331213567	0.687889235188366	-0.0110625331213567	-0.22944899500778	2	1
chr1_1658958_1659018_-	61	61	4.842	0.079377	0.079377	ENSG00000248333.8	chr1_1657375_1657498_-	402	262	0.00184240362811794	0.00722595904317636	-0.0290532879818594	NA	3	0.821062211690898
chr1_167553746_167553780_-	35	35	0.077	0.0022	0.0022	ENSG00000143162.9	chr1_167548002_167548121_-	96	16	0.0662525879917184	0.678963739041933	-0.0662525879917185	0.485426827170242	2	1
chr1_167721949_167721951_+	3	3	0.289	0.0963333	0.0963333	ENSG00000197965.12	chr1_167773236_167773368_+	1	16	-0.014703557312253	0.999999999999985	-0.014703557312253	0.442623330950743	2	1
chr1_167936657_167936716_+	60	60	59.631	0.99385	0.99385	ENSG00000143164.15	chr1_167951800_167951861_+	76	10	-0.0454545454545454	0.999999999999999	0.0454545454545454	-0.658963082164933	2	1
chr1_169106317_169106333_+	17	17	0.518	0.0304706	0.0304706	ENSG00000143153.13	chr1_169111370_169111498_+	79	83	-0.271596888583848	7.18457071792153e-13	0.271596888583848	1.94947020277178	2	5.88258972909311e-10
chr1_169106682_169106702_+	21	21	17.836	0.849333	0.849333	ENSG00000143153.13	chr1_169127224_169127412_+	334	47	0.00627444589309001	0.187484372284924	-0.0495436766623207	NA	3	1
chr1_169367809_169367815_-	7	7	2.012	0.287429	0.287429	ENSG00000143156.14	chr1_169323117_169323283_-	17	3	0.0673076923076923	0.0204127016515777	-0.16289592760181	NA	3	1
chr1_169427409_169427422_-	14	14	0.271	0.0193571	0.0193571	ENSG00000117477.12	chr1_169421363_169422313_-	10	6	-0.0499108734402852	0.969369173240399	-0.0499108734402852	0.32716474325351	2	1
chr1_169427409_169427422_-	14	14	0.271	0.0193571	0.0193571	ENSG00000117477.12	chr1_169424811_169424930_-	3	43	-0.270604395604396	0.0359581998998836	-0.270604395604396	2.08048991786037	2	1
chr1_169427409_169427422_-	14	14	0.271	0.0193571	0.0193571	ENSG00000117477.12	chr1_169424811_169424950_-	43	3	0.270604395604396	0.0359581998998836	0.270604395604396	-2.08048991786037	2	1
chr1_171485501_171485518_+	18	18	13.882	0.771222	0.771222	ENSG00000117523.16	chr1_171512032_171512200_+	251	0	0.17725988700565	0.191609044265614	-0.17725988700565	-2.48586903255022	2	1
chr1_171485521_171485584_+	64	64	45.062	0.704094	0.704094	ENSG00000117523.16	chr1_171512995_171513172_+	922	183	-0.0156360981114542	0.161642120876643	0.0414949052407979	NA	3	1
chr1_171512124_171512144_+	21	21	21	1	1	ENSG00000117523.16	chr1_171513001_171513172_+	20	126	-0.00704669980768532	0.489146711084065	0.0363982727965456	NA	3	1
chr1_171512124_171512144_+	21	21	21	1	1	ENSG00000117523.16	chr1_171514536_171514630_+	21	115	-0.00487778730703259	0.566987641071883	0.0313265743690272	NA	3	1
chr1_171512124_171512144_+	21	21	21	1	1	ENSG00000117523.16	chr1_171514536_171514645_+	113	23	0.0126802492301277	0.315092220798957	-0.044767090139141	NA	3	1
chr1_171557846_171557930_+	85	85	18.458	0.217153	0.217153	ENSG00000117523.16	chr1_171561021_171561103_+	12	146	-0.0192813321647678	0.681073514966097	0.0659509202453988	NA	3	1
chr1_179229568_179229606_-	39	39	26.008	0.666872	0.666872	ENSG00000143322.21	chr1_179133312_179133374_-	2	9	-0.161616161616162	0.32471496297989	-0.161616161616162	1.58496250072116	2	1
chr1_179882276_179882304_+	29	29	27.552	0.950069	0.950069	ENSG00000143337.18	chr1_179900126_179900178_+	7	70	0.0707070707070707	0.948863412103077	-0.0707070707070707	0.53605290024021	2	1
chr1_1891057_1891132_-	76	76	67.982	0.8945	0.8945	ENSG00000078369.18	chr1_1825397_1825499_-	6	205	0.033849684452094	1	-0.0338496844520941	0.364914019853007	2	1
chr1_183806381_183806389_+	9	9	8.993	0.999222	0.999222	ENSG00000143344.15	chr1_183865996_183866073_+	4	10	0.00228564730703862	0.766024710891219	-0.0549434448807361	NA	4	1
chr1_1891036_1891046_-	11	11	10.935	0.994091	0.994091	ENSG00000078369.18	chr1_1839190_1839238_-	42	3	0.111097880447726	0.150456791783228	0.111097880447726	-1.45282216173831	2	1
chr1_184974442_184974463_-	22	22	3.287	0.149409	0.149409	ENSG00000135842.17	chr1_184899179_184899309_-	47	17	-0.0451515151515152	0.0489967048219792	0.218181818181818	NA	4	1
chr1_186375773_186375793_+	21	21	17.057	0.812238	0.812238	ENSG00000157181.16	chr1_186388442_186388548_+	9	0	0.0473684210526316	0.203742780769396	0.0473684210526316	-2.50296912852385	2	1
chr1_186375773_186375793_+	21	21	17.057	0.812238	0.812238	ENSG00000157181.16	chr1_186389588_186389624_+	8	0	0.051948051948052	0.37409537722306	-0.051948051948052	-1.89763828237032	2	1
chr1_19081440_19081454_-	15	15	14.77	0.984667	0.984667	ENSG00000127481.15	chr1_19076736_19076902_-	19	129	0.014766201804758	1	0.014766201804758	0.14359085362885	2	1
chr1_19485503_19485554_-	52	52	49.768	0.957077	0.957077	ENSG00000077549.19	chr1_19342752_19342864_-	7	19	-0.0153774464119291	0.0233931036045367	0.250232991612302	NA	5	1
chr1_198639200_198639210_+	11	11	8.437	0.767	0.767	ENSG00000081237.20	chr1_198692347_198692373_+	2	12	-0.000602809090361082	0.999999999999998	0.000602809090361145	0.0237681659329497	2	1
chr1_200738885_200738946_+	62	62	52.792	0.851484	0.851484	ENSG00000118200.14	chr1_200760839_200761098_+	38	13	0.108213010402112	0.0122016534889868	-0.232883092687471	NA	3	1
chr1_200739504_200739536_+	33	33	30.475	0.923485	0.923485	ENSG00000118200.14	chr1_200807376_200807537_+	20	3	0.0297149787750151	0.231406867543399	-0.209824135839903	NA	3	1
chr1_201154435_201154453_-	19	19	4.86	0.255789	0.255789	ENSG00000116857.17	chr1_201153858_201153959_-	4	16	-0.914893617021277	9.19782618317967e-11	0.914893617021277	-8.4262647547021	2	5.56639498309062e-08
chr1_201496243_201496273_-	31	31	30.873	0.995903	0.995903	ENSG00000159176.14	chr1_201488855_201488984_-	11	0	0.102803738317757	0.306810660157085	0.102803738317757	-2.12239663135973	2	1
chr1_202808408_202808428_-	21	21	0.134	0.00638095	0.00638095	ENSG00000117139.18	chr1_202773118_202773288_-	33	156	-0.0322327044025157	0.279563518417862	0.0814989517819707	NA	3	1
