PolyA	size	covered	sum	mean	phastcons	Gene	Exon	Inclusion	Exclusion	dPI	pval	dPSI	logOddsRatio	nrow	FDR
chr1_155138423_155138439_+	17	17	1.73	0.101765	0.101765	ENSG00000169241.19	chr1_155137561_155137722_+	5	7	-0.0952380952380952	0.732678261375707	-0.0952380952380952	-0.678071905112638	2	1
chr1_155138423_155138439_+	17	17	1.73	0.101765	0.101765	ENSG00000169241.19	chr1_155137979_155138098_+	13	3	0.0292307692307692	1	-0.0292307692307693	0.227951946678349	2	1
chr1_155312966_155312967_+	2	2	0.004	0.002	0.002	ENSG00000160752.14	chr1_155309789_155309965_+	6	273	0.0675	0.981980508962343	0.0675	-0.48089004657347	2	1
chr1_155318495_155318524_+	30	30	0.517	0.0172333	0.0172333	ENSG00000160752.14	chr1_155317941_155318021_+	3	13	-0.129213483146067	8.85616591486346e-05	0.129213483146067	3.31876081580868	2	0.012659379749637
chr1_155330786_155330818_+	33	33	23.435	0.710152	0.710152	ENSG00000160753.16	chr1_155328150_155328275_+	9	0	0.0538922155688623	0.239530754726011	-0.175363558597092	NA	3	1
chr1_156139321_156139343_+	23	23	14.187	0.616826	0.616826	ENSG00000160789.20	chr1_156138488_156138757_+	95	31	-0.0686274509803921	0.298658372485772	0.0686274509803922	-2.19169562411353	2	1
chr1_161157919_161157919_+	1	1	0.029	0.029	0.029	ENSG00000143222.12	chr1_161156950_161157017_+	93	17	-0.370844564240791	0.00254453912668023	0.370844564240791	2.44312179345025	2	0.197398810299312
chr1_161157919_161157919_+	1	1	0.029	0.029	0.029	ENSG00000143222.12	chr1_161157254_161157317_+	15	97	-0.861304347826087	1.09762631628089e-38	-0.861304347826087	8.05057425119669	2	2.1965911538247e-35
chr1_16650323_16650349_+	27	0	0	0	0	ENSG00000186301.8	chr1_16649174_16649251_+	8	33	0.00246305418719206	1	-0.00246305418719212	-0.0144995696951151	2	1
chr1_16650323_16650349_+	27	0	0	0	0	ENSG00000186301.8	chr1_16649308_16649525_+	15	30	-0.0615835777126099	0.745804972410618	0.06158357771261	0.356143810225275	2	1
chr1_16650323_16650349_+	27	0	0	0	0	ENSG00000186301.8	chr1_16649379_16649525_+	11	38	-0.0428571428571428	0.915189220878898	0.0428571428571429	0.247927513443586	2	1
chr1_16650323_16650349_+	27	0	0	0	0	ENSG00000186301.8	chr1_16649810_16649949_+	53	29	-0.0183111380145279	0.946702582524022	-0.0183111380145279	0.105812994317696	2	1
chr1_16650323_16650349_+	27	0	0	0	0	ENSG00000186301.8	chr1_16649810_16649953_+	27	55	0.0570458952811894	0.602695063258013	-0.0570458952811894	-0.329671598864084	2	1
chr1_167415885_167415934_+	50	50	49.536	0.99072	0.99072	ENSG00000143190.23	chr1_167411959_167412304_+	33	1	0.253819036427732	0.0224434524601727	-0.253819036427732	-3.2184235191335	2	0.987126901424276
chr1_167415885_167415934_+	50	50	49.536	0.99072	0.99072	ENSG00000143190.23	chr1_167413026_167413114_+	72	4	0.224324324324324	0.00717509127357914	-0.224324324324324	-2.11103131238874	2	0.428624846224375
chr1_171532823_171532831_+	9	9	8.946	0.994	0.994	ENSG00000117523.16	chr1_171513001_171513172_+	1	11	-0.00479475387497871	0.373388089331959	0.0323880088570943	NA	3	1
chr1_171532823_171532831_+	9	9	8.946	0.994	0.994	ENSG00000117523.16	chr1_171514536_171514630_+	3	18	-0.00242978556346621	0.797723387232595	-0.00667748929232053	NA	4	1
chr1_171566339_171566340_+	2	2	1.057	0.5285	0.5285	ENSG00000117523.16	chr1_171561021_171561103_+	2	64	-0.088231148696265	0.254789177506958	-0.088231148696265	1.43849647210283	2	1
chr1_172569072_172569080_+	9	9	8.964	0.996	0.996	ENSG00000094975.14	chr1_172555869_172556023_+	12	0	0.109090909090909	0.300272695009733	-0.109090909090909	-2.14017765804826	2	1
chr1_173487999_173488036_+	38	38	20.204	0.531684	0.531684	ENSG00000117592.9	chr1_173481326_173481482_+	92	21	-0.00215238915195859	0.999999999999999	0.00215238915195867	-0.0386804681640599	2	1
chr1_173488773_173488825_+	53	53	52.002	0.98117	0.98117	ENSG00000117592.9	chr1_173485361_173485507_+	11	6	-0.0347222222222222	0.622782023739189	0.0347222222222223	0.595850816863893	2	1
chr1_178916612_178916670_+	59	59	58.974	0.999559	0.999559	ENSG00000116191.17	chr1_178902106_178902211_+	9	8	-0.388888888888889	0.121164290482073	-0.388888888888889	-3	2	1
chr1_180006527_180006528_+	2	2	1.98	0.99	0.99	ENSG00000135837.16	chr1_179992062_179992221_+	35	18	0.0274584929757343	0.615701145215394	-0.0772669220945083	NA	3	1
chr1_180011970_180012023_+	54	54	53.182	0.984852	0.984852	ENSG00000135837.16	chr1_180003174_180003287_+	34	7	-0.0773348358923792	3.47333613437338e-05	0.39090012677842	NA	3	0.00567421052610492
chr1_180011970_180012023_+	54	54	53.182	0.984852	0.984852	ENSG00000135837.16	chr1_180006454_180006567_+	41	1	0.325037707390649	0.0469813239386679	-0.325037707390649	-3.01177716777635	2	1
chr1_201899969_201899992_+	24	24	23.02	0.959167	0.959167	ENSG00000198892.7	chr1_201899173_201899346_+	0	82	-1	1.57627604666652e-21	-1	-12.3575520046181	2	1.14708156840093e-18
chr1_201969790_201969863_+	74	74	34.913	0.471797	0.471797	ENSG00000134375.11	chr1_201963616_201963744_+	11	9	-0.0544444444444444	0.678776773666373	0.108888888888889	NA	3	1
chr1_204550067_204550068_+	2	2	0.002	0.001	0.001	ENSG00000198625.13	chr1_204538209_204538308_+	5	10	-0.0303030303030303	0.0391772867538742	0.218181818181818	NA	3	1
chr1_204550067_204550068_+	2	2	0.002	0.001	0.001	ENSG00000198625.13	chr1_204546797_204546877_+	47	8	0.113784461152882	0.0093418488831759	-0.313784461152882	NA	3	0.534145424612538
chr1_207767038_207767060_+	23	23	1.131	0.0491739	0.0491739	ENSG00000117335.20	chr1_207757014_207757206_+	10	365	0.0232831723935101	0.82665261410265	-0.0499485319347091	NA	3	1
chr1_207767038_207767060_+	23	23	1.131	0.0491739	0.0491739	ENSG00000117335.20	chr1_207761251_207761446_+	13	435	-0.0254658385093167	0.999999999999999	0.0254658385093168	-0.16442766257172	2	1
chr1_211313780_211313793_+	14	14	13.966	0.997571	0.997571	ENSG00000117625.13	chr1_211312720_211312961_+	54	59	0.00225076128690582	0.999999999999999	-0.00225076128690588	0.0142634576740552	2	1
chr1_212446104_212446149_+	46	46	4.864	0.105739	0.105739	ENSG00000117691.10	chr1_212442565_212442625_+	140	62	0.0335309752606828	0.488064734258309	-0.0335309752606829	0.912052300724298	2	1
chr1_212446355_212446398_+	44	44	2.647	0.0601591	0.0601591	ENSG00000117691.10	chr1_212444339_212444442_+	11	2	-0.0360305958132045	0.809734734018692	0.0360305958132046	0.827731058089389	2	1
chr1_215620317_215620337_+	21	21	20.861	0.993381	0.993381	ENSG00000136636.13	chr1_215611825_215611921_+	7	0	0.0714285714285714	0.452381122972546	-0.0714285714285714	-1.69187770463767	2	1
chr1_215620383_215620403_+	21	21	20.915	0.995952	0.995952	ENSG00000136636.13	chr1_215618886_215619070_+	127	176	0.00152463489006571	1	-0.0015246348900658	0.0438262409646269	2	1
chr1_218434417_218434437_+	21	21	19.966	0.950762	0.950762	ENSG00000092969.12	chr1_218434082_218434214_+	16	8	-0.466666666666667	0.0435050186512466	0.466666666666667	-3.8073549220576	2	1
chr1_222628440_222628443_+	4	4	3.244	0.811	0.811	ENSG00000154305.18	chr1_222624768_222624854_+	30	4	0.0336134453781513	0.363627198157377	-0.170588235294118	NA	4	1
chr1_222665790_222665833_+	44	44	32.265	0.733295	0.733295	ENSG00000154305.18	chr1_222663998_222664148_+	15	21	-0.00148957298907648	0.534755942633946	0.0858987090367428	NA	3	1
chr1_223774923_223774969_+	47	47	23.746	0.505234	0.505234	ENSG00000162909.18	chr1_223770447_223770525_+	3	7	0.00200320512820513	0.191095520504588	-0.0969551282051282	NA	4	1
chr1_22661511_22661551_+	41	41	7.03	0.171463	0.171463	ENSG00000173369.16	chr1_22659440_22659643_+	183	39	-0.0418848167539267	0.411413102642516	-0.0418848167539267	-1.76970238057821	2	1
chr1_23059131_23059132_+	2	2	2	1	1	ENSG00000004487.17	chr1_23044427_23044486_+	4	10	-0.369230769230769	0.171397137521963	0.369230769230769	2.32192809488736	2	1
chr1_234323447_234323450_+	4	4	3.106	0.7765	0.7765	ENSG00000183780.13	chr1_234309101_234309320_+	27	109	0.0804511278195489	0.424381344927137	0.0804511278195489	0.986703177386542	2	1
chr1_236897732_236897745_+	14	14	0.063	0.0045	0.0045	ENSG00000116984.13	chr1_236895358_236895550_+	79	21	0.0436046511627907	0.798328476557486	-0.0436046511627907	0.689070904061895	2	1
chr1_23695501_23695501_+	1	1	0.012	0.012	0.012	ENSG00000142676.14	chr1_23692612_23692759_+	16	82	0.0653720301607626	0.0642553339205422	-0.0653720301607627	-0.856123199617255	2	1
chr1_23751474_23751474_+	1	1	0.009	0.009	0.009	ENSG00000011007.12	chr1_23749021_23749077_+	12	7	0.167420814479638	0.575016616042984	0.167420814479638	1.04064198449735	2	1
chr1_237654408_237654409_+	2	2	1.994	0.997	0.997	ENSG00000198626.17	chr1_237649877_237650097_+	21	2	0.3	0.173062308826535	0.3	2	2	1
chr1_2403272_2403323_+	52	52	36.795	0.707596	0.707596	ENSG00000157916.20	chr1_2395784_2395871_+	15	9	-0.129545454545455	0.0193206116420479	0.263636363636364	NA	3	0.878745094795341
chr1_2403191_2403250_+	60	60	40.148	0.669133	0.669133	ENSG00000157916.20	chr1_2402097_2402342_+	13	108	0.380348078317622	0.0123927034180615	-0.380348078317622	3.42128564694402	2	0.640089865346372
chr1_243344269_243344269_+	1	1	0.998	0.998	0.998	ENSG00000054282.16	chr1_243341039_243341173_+	37	10	-0.0868686868686869	0.806217617743777	0.0868686868686869	-1.11247472925841	2	1
chr1_244843068_244843073_+	6	6	5.843	0.973833	0.973833	ENSG00000203667.10	chr1_244841944_244842058_+	1	6	-0.0207225380524482	0.297142381645957	-0.121217678342197	NA	5	1
chr1_24649972_24650009_+	38	38	37.877	0.996763	0.996763	ENSG00000133226.17	chr1_24647079_24647208_+	2	5	0.0151515151515152	0.904365968602693	-0.0454545454545454	NA	3	1
chr1_26474098_26474131_+	34	34	33.768	0.993176	0.993176	ENSG00000198830.11	chr1_26473483_26473527_+	2	6	-0.8	1.11620346872135e-05	0.8	6.62935662007961	2	0.00212739820282577
chr1_28565111_28565133_+	23	23	1.518	0.066	0.066	ENSG00000180098.9	chr1_28561113_28561260_+	6	3	0.102564102564103	0.825975053792661	0.102564102564103	-0.736965594166206	2	1
chr1_28993432_28993438_+	7	7	6.989	0.998429	0.998429	ENSG00000159023.21	chr1_28987431_28987905_+	48	95	0.0833654216403542	0.138206270990207	-0.0833654216403543	2.47453851102751	2	1
chr1_28993432_28993438_+	7	7	6.989	0.998429	0.998429	ENSG00000159023.21	chr1_28987448_28987905_+	91	54	-0.0896613190730837	0.0886731731383853	0.0896613190730838	-2.70652448060207	2	1
chr1_32332193_32332206_+	14	14	13.914	0.993857	0.993857	ENSG00000116478.12	chr1_32330578_32330686_+	17	45	0.195804195804196	0.15491205920475	-0.195804195804196	-1.31807576939176	2	1
chr1_35359325_35359341_+	17	17	16.962	0.997765	0.997765	ENSG00000146463.12	chr1_35295927_35295988_+	7	83	-0.0359477124183006	0.999999999999996	-0.0359477124183006	-0.319756995845735	2	1
chr1_36289171_36289171_+	1	1	0.998	0.998	0.998	ENSG00000054118.15	chr1_36286368_36287274_+	96	11	0.0265734265734265	1	-0.0265734265734266	0.318175960026255	2	1
chr1_36296597_36296648_+	52	52	51.93	0.998654	0.998654	ENSG00000054118.15	chr1_36294050_36294241_+	1	9	-0.0711111111111111	0.283886261306177	-0.133333333333333	NA	4	1
chr1_39004442_39004444_+	3	3	2.786	0.928667	0.928667	ENSG00000174574.16	chr1_38998171_38998311_+	7	11	0.0180952380952381	0.27058264094844	-0.165714285714286	NA	3	1
chr1_39353013_39353016_+	4	4	3.991	0.99775	0.99775	ENSG00000127603.29	chr1_39337182_39337331_+	5	20	-0.104166666666667	0.0849009631445982	0.260416666666667	NA	3	1
chr1_39353013_39353016_+	4	4	3.991	0.99775	0.99775	ENSG00000127603.29	chr1_39340502_39340717_+	15	20	0.0262565641410353	0.396273396788748	-0.111402850712678	NA	3	1
chr1_39353013_39353016_+	4	4	3.991	0.99775	0.99775	ENSG00000127603.29	chr1_39340804_39340953_+	21	20	0.00561660561660565	0.478007125485852	-0.0852258852258852	NA	3	1
chr1_39357791_39357792_+	2	2	0.963	0.4815	0.4815	ENSG00000127603.29	chr1_39346977_39347210_+	19	17	-0.0339176829268293	0.589352139857269	0.084984756097561	NA	3	1
chr1_39368302_39368306_+	5	5	4.936	0.9872	0.9872	ENSG00000127603.29	chr1_39359141_39359264_+	253	32	0.0332798287854468	0.67944154866108	-0.0332798287854468	0.760601153357862	2	1
chr1_39430057_39430068_+	12	12	11.809	0.984083	0.984083	ENSG00000127603.29	chr1_39427961_39428287_+	60	40	0.104177101071822	0.088001557280245	-0.104177101071822	-0.663817921432396	2	1
chr1_39486085_39486092_+	8	8	7.979	0.997375	0.997375	ENSG00000127603.29	chr1_39468597_39468732_+	77	505	0.00224664654963547	0.228400597518758	0.0655382040043171	NA	6	1
chr1_39753675_39753723_+	49	49	20.061	0.409408	0.409408	ENSG00000084072.17	chr1_39743216_39743297_+	16	17	0.0707792207792208	0.686198532189435	-0.0707792207792208	-0.419497147469544	2	1
chr1_39753675_39753723_+	49	49	20.061	0.409408	0.409408	ENSG00000084072.17	chr1_39745375_39745498_+	39	8	0.172173913043478	0.227294208935479	0.172173913043478	-1.02236781302845	2	1
chr1_39753675_39753723_+	49	49	20.061	0.409408	0.409408	ENSG00000084072.17	chr1_39748903_39749088_+	92	26	-0.171157495256167	0.0947813481033661	0.171157495256167	1.154157685584	2	1
chr1_39753675_39753723_+	49	49	20.061	0.409408	0.409408	ENSG00000084072.17	chr1_39752910_39753052_+	160	5	0.106060606060606	0.73120604366577	-0.106060606060606	-0.62148837674627	2	1
chr1_40236295_40236301_+	7	7	6.993	0.999	0.999	ENSG00000117000.9	chr1_40231517_40231658_+	6	55	0.0600414078674948	0.999999999999997	0.0600414078674948	0.610957709254101	2	1
chr1_40771096_40771118_+	23	23	22.978	0.999043	0.999043	ENSG00000066136.20	chr1_40769356_40769415_+	33	12	0.151730257320319	0.327616481701769	0.151730257320319	0.918863237274595	2	1
chr1_43967996_43968028_+	33	33	1.226	0.0371515	0.0371515	ENSG00000117408.11	chr1_43960249_43960329_+	18	2	0.0790513833992095	0.851315255939261	-0.0790513833992096	0.667424660913129	2	1
chr1_43967728_43967773_+	46	46	41.514	0.902478	0.902478	ENSG00000117408.11	chr1_43961166_43961262_+	106	7	-0.023646873357856	0.999999999999996	-0.023646873357856	0.145523657952177	2	1
chr1_43967996_43968028_+	33	33	1.226	0.0371515	0.0371515	ENSG00000117408.11	chr1_43964269_43964321_+	71	16	0.0880459770114942	0.336442204577712	-0.0880459770114943	0.550709433571803	2	1
chr1_43967996_43968028_+	33	33	1.226	0.0371515	0.0371515	ENSG00000117408.11	chr1_43966575_43966641_+	98	89	0.0229503007280785	0.67488094960921	-0.0229503007280786	0.138976413148811	2	1
chr1_43967728_43967773_+	46	46	41.514	0.902478	0.902478	ENSG00000117408.11	chr1_43966724_43966782_+	286	30	-0.048607150690941	0.622468934231113	0.048607150690941	0.296181038123438	2	1
chr1_43967728_43967773_+	46	46	41.514	0.902478	0.902478	ENSG00000117408.11	chr1_43966930_43967019_+	316	21	-0.0586671098554097	0.630023039943717	-0.0586671098554097	0.355323215296559	2	1
chr1_43967996_43968028_+	33	33	1.226	0.0371515	0.0371515	ENSG00000117408.11	chr1_43967315_43967496_+	256	29	-0.0165756582938963	0.895929256469507	0.0165756582938964	-0.0978935155070379	2	1
chr1_43972756_43972796_+	41	41	1.36	0.0331707	0.0331707	ENSG00000132768.14	chr1_43972158_43972334_+	10	1	0.275	0.314753154915863	-0.275	2.22239242133645	2	1
chr1_44778690_44778740_+	51	51	4.431	0.0868824	0.0868824	ENSG00000142937.12	chr1_44776034_44776140_+	162	25	-0.00618087182823684	0.645619366421383	-0.030416395575797	NA	4	1
chr1_44777997_44778033_+	37	37	36.242	0.979514	0.979514	ENSG00000142937.12	chr1_44777614_44777789_+	7	3	-0.03841642228739	0.00394047025663413	-0.17193129451194	NA	4	0.267313416765408
chr1_44778690_44778740_+	51	51	4.431	0.0868824	0.0868824	ENSG00000142937.12	chr1_44778000_44778129_+	270	38	-0.0873801916932907	0.190667092970912	-0.0873801916932907	-1.59737667109485	2	1
chr1_44805132_44805138_+	7	7	0.23	0.0328571	0.0328571	ENSG00000173846.13	chr1_44803268_44803391_+	10	11	-0.331168831168831	0.105645429201878	0.331168831168831	2.13750352374994	2	1
chr1_44805132_44805138_+	7	7	0.23	0.0328571	0.0328571	ENSG00000173846.13	chr1_44803931_44804024_+	35	13	-0.19983416252073	0.211126265360274	-0.19983416252073	1.24922860630876	2	1
chr1_44805132_44805138_+	7	7	0.23	0.0328571	0.0328571	ENSG00000173846.13	chr1_44804163_44804246_+	45	11	-0.351648351648352	0.0373729883406514	0.351648351648352	2.49114047836464	2	1
chr1_44805132_44805138_+	7	7	0.23	0.0328571	0.0328571	ENSG00000173846.13	chr1_44804339_44804501_+	33	32	-0.679611650485437	7.11583015183738e-11	0.679611650485437	7.08488889758651	2	2.99796586061733e-08
chr1_45694143_45694193_+	51	51	4.349	0.0852745	0.0852745	ENSG00000159596.7	chr1_45690974_45691110_+	3	8	-0.0476190476190476	1	0.0476190476190476	0.299560281858908	2	1
chr1_47050538_47050570_+	33	33	11.846	0.35897	0.35897	ENSG00000186377.8	chr1_47048565_47048629_+	2	11	-0.0987460815047022	0.465609859119125	-0.0987460815047022	1.22677086184702	2	1
chr1_47050538_47050570_+	33	33	11.846	0.35897	0.35897	ENSG00000186377.8	chr1_47049422_47049504_+	13	0	0.154761904761905	0.200010290623419	-0.154761904761905	-2.55069259863641	2	1
chr1_52238921_52238921_+	1	1	0.996	0.996	0.996	ENSG00000157077.14	chr1_52216369_52216474_+	66	9	-0.142857142857143	0.492195439436759	0.142857142857143	-1.58496250072116	2	1
chr1_66644008_66644010_+	3	3	0.062	0.0206667	0.0206667	ENSG00000118473.22	chr1_66534246_66534368_+	15	240	0.0108590733590733	0.999999999999995	-0.0108590733590734	0.247927513443586	2	1
chr1_67687929_67687933_+	5	5	4.976	0.9952	0.9952	ENSG00000116717.13	chr1_67686025_67686587_+	6	65	-0.00745098039215686	0.168109746282259	-0.127843137254902	NA	4	1
chr1_70250629_70250652_+	24	24	23.901	0.995875	0.995875	ENSG00000116754.13	chr1_70246818_70246912_+	28	1116	0.00670302429350522	0.197940856631777	-0.0697372335151215	NA	3	1
chr1_70250399_70250420_+	22	22	21.936	0.997091	0.997091	ENSG00000116754.13	chr1_70249931_70250047_+	12	771	-0.101488852311836	0.247797393540446	0.101488852311836	0.652934200535829	2	1
chr1_7766901_7766904_+	4	4	3.989	0.99725	0.99725	ENSG00000171735.19	chr1_7751199_7751392_+	7	4	-0.00694444444444442	0.999999999999999	0.00694444444444442	0.0406419844973458	2	1
chr1_7766901_7766904_+	4	4	3.989	0.99725	0.99725	ENSG00000171735.19	chr1_7755638_7755668_+	7	13	0.264935064935065	0.231113394038899	-0.264935064935065	-1.56634682255381	2	1
chr1_77875199_77875238_+	40	40	2.29	0.05725	0.05725	ENSG00000180488.15	chr1_77873001_77873120_+	18	48	0.0902255639097744	0.523949956497709	-0.0902255639097744	-1.58496250072116	2	1
chr1_90027458_90027483_+	26	26	4.137	0.159115	0.159115	ENSG00000162664.17	chr1_90010088_90010286_+	1	7	-0.0465239228125826	0.000504992839192837	-0.341792228390167	NA	4	0.054627108189013
chr1_93133682_93133711_+	30	30	29.838	0.9946	0.9946	ENSG00000143033.18	chr1_93129278_93129448_+	19	61	0.106971677559913	0.35528072480601	0.106971677559913	-0.619752945901131	2	1
chr1_99870658_99870658_+	1	1	0.022	0.022	0.022	ENSG00000162688.17	chr1_99850975_99851124_+	55	12	-0.0420995079278294	0.541357568716185	0.0420995079278295	0.408885272297249	2	1
chr1_99870658_99870658_+	1	1	0.022	0.022	0.022	ENSG00000162688.17	chr1_99850975_99851128_+	8	59	0.0115805946791862	0.999999999999992	-0.0115805946791863	-0.117356950638159	2	1
chr1_99864543_99864585_+	43	43	42.83	0.996047	0.996047	ENSG00000162688.17	chr1_99861503_99861713_+	359	25	0.138502191286414	0.0626838742137607	-0.138502191286414	1.13349046124331	2	1
chr10_100918476_100918494_+	19	19	4.36	0.229474	0.229474	ENSG00000119906.13	chr10_100915999_100916042_+	7	2	0.0794871794871795	0.147171674181335	-0.315384615384615	NA	3	1
chr10_100961927_100961940_+	14	14	7.714	0.551	0.551	ENSG00000119906.13	chr10_100956451_100956537_+	46	7	0.346153846153846	0.0132272233372231	-0.346153846153846	2.71620703399941	2	0.669028542175125
chr10_102150167_102150194_+	28	28	27.049	0.966036	0.966036	ENSG00000148840.11	chr10_102148372_102148521_+	36	82	-0.0599858856739591	0.539223009611161	0.0599858856739591	-0.432739501012303	2	1
chr10_102150167_102150194_+	28	28	27.049	0.966036	0.966036	ENSG00000148840.11	chr10_102148628_102148694_+	102	44	-0.0916666666666667	0.258923365752417	0.0916666666666667	-0.719892080807265	2	1
chr10_102150167_102150194_+	28	28	27.049	0.966036	0.966036	ENSG00000148840.11	chr10_102148634_102148694_+	11	135	0.0599078341013825	0.861246972348231	0.0599078341013825	0.470078862836806	2	1
chr10_102150167_102150194_+	28	28	27.049	0.966036	0.966036	ENSG00000148840.11	chr10_102148817_102148938_+	138	19	-0.0946969696969696	0.468253882706275	0.0946969696969697	-0.724365557386573	2	1
chr10_102150295_102150338_+	44	44	24.846	0.564682	0.564682	ENSG00000148840.11	chr10_102149178_102149329_+	79	2	0.0647410358565737	0.99880676654539	-0.0647410358565738	-0.462478494196161	2	1
chr10_103288571_103288602_+	32	32	30.244	0.945125	0.945125	ENSG00000148798.11	chr10_103287035_103287159_+	66	4	0.41283422459893	0.0111266238301198	0.41283422459893	-2.60382152797247	2	0.595171210879008
chr10_104263443_104263457_+	15	15	1.793	0.119533	0.119533	ENSG00000148834.13	chr10_104257366_104257483_+	3	26	0.2	0.137795761475046	0.2	-1.94753258010586	2	1
chr10_104267414_104267440_+	27	27	14.761	0.546704	0.546704	ENSG00000148834.13	chr10_104266084_104266190_+	14	0	0.0444444444444444	0.363932245833003	0.0444444444444444	-1.85913746416015	2	1
chr10_110133532_110133533_+	2	2	1.998	0.999	0.999	ENSG00000148700.15	chr10_110132305_110132400_+	137	208	0.20009858044164	6.67831792446843e-06	-0.20009858044164	1.64221473353935	2	0.00140681893164183
chr10_110285144_110285159_+	16	16	14.604	0.91275	0.91275	ENSG00000119950.21	chr10_110228189_110228321_+	194	182	0.00515666824122185	0.443834152792287	0.0271020311761927	NA	4	1
chr10_110285030_110285068_+	39	39	38.945	0.99859	0.99859	ENSG00000119950.21	chr10_110260999_110261145_+	2	41	0.0405731523378582	0.936481166452609	0.0405731523378582	-0.589466703695744	2	1
chr10_114861976_114861981_+	6	6	5.994	0.999	0.999	ENSG00000151553.15	chr10_114855197_114855340_+	10	7	-0.303030303030303	0.16534872653053	-0.303030303030303	-1.8073549220576	2	1
chr10_114861976_114861981_+	6	6	5.994	0.999	0.999	ENSG00000151553.15	chr10_114861231_114861334_+	23	5	-0.207070707070707	0.402321584645897	0.207070707070707	-1.22463089353245	2	1
chr10_122249658_122249664_+	7	7	6.281	0.897286	0.897286	ENSG00000138162.19	chr10_122248643_122248803_+	10	4	0.0106716886377903	0.843782116303986	-0.0263653483992467	NA	3	1
chr10_127439102_127439117_+	16	16	15.93	0.995625	0.995625	ENSG00000150760.12	chr10_127410840_127410924_+	5	18	-0.205357142857143	0.336398876507445	-0.205357142857143	-1.21056698593966	2	1
chr10_127439102_127439117_+	16	16	15.93	0.995625	0.995625	ENSG00000150760.12	chr10_127415152_127415238_+	25	14	0.105263157894737	0.394613622105613	-0.105263157894737	0.643856189774725	2	1
chr10_13110368_13110385_+	18	18	16.132	0.896222	0.896222	ENSG00000123240.17	chr10_13108138_13108289_+	1	8	-0.0105601469237833	0.0271654571874612	0.360881542699725	NA	4	1
chr10_13119012_13119012_+	1	1	0.883	0.883	0.883	ENSG00000123240.17	chr10_13110180_13110476_+	6	62	-0.183558558558559	0.267763243732373	-0.183558558558559	-1.07645206043787	2	1
chr10_13132097_13132127_+	31	31	29.242	0.94329	0.94329	ENSG00000123240.17	chr10_13125418_13125567_+	10	5	0.0757575757575758	0.00273839542409866	-0.409090909090909	NA	3	0.204167742158433
chr10_13132097_13132127_+	31	31	29.242	0.94329	0.94329	ENSG00000123240.17	chr10_13125946_13126039_+	15	2	0.240063593004769	0.0110128812952166	0.240063593004769	2.86624861111117	2	0.595171210879008
chr10_17237326_17237379_+	54	54	53.417	0.989204	0.989204	ENSG00000026025.16	chr10_17230650_17230714_+	9	154	0.116543131998108	0.48307374097844	0.116543131998108	-0.677925520348584	2	1
