#exonID__	ExcitatoryNeurons	InhibitoryNeurons	Astrocytes	Oligodendrocytes	OPCs	VLMCs
chr12_109908586_109908698	0.909091	0.75	NA	0.846154	NA	NA
chr2_178709566_178709856	NA	NA	NA	NA	NA	NA
chr14_102039001_102039254	NA	NA	NA	NA	NA	NA
chr8_19824803_19824972	0.862069	0.908046	0.886827	0.904192	0.855769	NA
chr17_74892523_74892689	NA	NA	NA	NA	NA	NA
chr16_29872705_29872743	0.5625	0.438596	NA	0.666667	NA	NA
chr7_148832634_148832750	NA	0.647059	NA	0.9	0.9	NA
chr9_74775883_74776076	NA	NA	NA	0.9375	NA	NA
chr2_169538013_169538141	0.75	0.606838	0.686047	0.764706	0.804878	NA
chr5_139477329_139477515	NA	NA	NA	NA	NA	NA
chr1_119140268_119140458	NA	NA	NA	NA	NA	NA
chr9_84861040_84861087	0.105263	0.1	NA	NA	NA	NA
chr1_146622443_146622666	NA	NA	NA	NA	NA	NA
chr4_143197823_143197924	NA	NA	NA	NA	NA	NA
chr1_70189092_70189273	0.933333	0.863636	0.75	NA	NA	NA
chr10_100202088_100202149	0.896552	0.666667	0.96875	0.875	0.9375	NA
chr2_54844047_54844248	0.714286	NA	NA	NA	NA	NA
chr1_235465636_235465714	NA	NA	NA	NA	NA	NA
chr14_100139334_100139369	0.164179	0.177778	0.148148	0	0.0666667	NA
chr2_178711944_178712222	NA	NA	NA	NA	NA	NA
chr20_35734186_35734257	0.0540541	0.0416667	0.0323625	0.0909091	0.0566038	NA
chr6_25449898_25449995	NA	NA	NA	NA	NA	NA
chr4_2909339_2909431	0.0862069	0.270833	0.0243902	0	NA	NA
chr18_56626162_56626266	0.0410959	0.0819672	0.0694444	0.056338	0.0588235	NA
chr4_76147479_76147640	0.533333	0.7	0	0	NA	NA
chr7_102761273_102761411	0.826087	0.833333	1	NA	NA	NA
chr12_108981665_108981705	0.1	NA	NA	NA	NA	NA
chr3_108050578_108050602	0.678571	0.6	0.0121951	0	0	NA
chr2_218385412_218385485	NA	NA	NA	NA	NA	NA
chr10_43567899_43568021	NA	NA	NA	NA	NA	NA
chr4_88737472_88737555	0.875	0.9375	0.933333	NA	NA	NA
chr16_14092721_14092882	0.0727273	0.121212	0.0740741	NA	NA	NA
chr14_73661987_73662042	NA	NA	0.9	NA	NA	NA
chr12_108806301_108806394	NA	NA	NA	NA	NA	NA
chr16_27648604_27648735	0.642857	NA	NA	NA	NA	NA
chr1_116026893_116027022	NA	NA	0.923077	0.714286	0.8	NA
chr16_2566356_2566453	NA	NA	NA	NA	NA	NA
chr2_32206886_32206933	NA	NA	NA	NA	NA	NA
chr2_151469054_151469107	NA	NA	NA	0	NA	NA
chr22_23140222_23140472	NA	NA	NA	NA	NA	NA
chr14_31112416_31112543	NA	NA	NA	NA	NA	NA
chr22_29254203_29254287	NA	NA	0.923077	NA	NA	NA
chr2_30552493_30552649	0.107143	0.257143	0.115385	NA	0.285714	NA
chr2_172562741_172562800	0.0434783	0.0588235	0	NA	NA	NA
chr1_40280120_40280312	NA	NA	0.181818	NA	NA	NA
chr16_68266593_68266721	0.941176	0.909091	0.848485	NA	0.833333	NA
chr6_72284047_72284118	0.44	NA	NA	NA	NA	NA
chr2_196220039_196220153	NA	NA	NA	NA	NA	NA
chr15_30835171_30835289	0.285714	NA	NA	NA	NA	NA
chr9_36060119_36060155	0.870968	0.806452	0.970588	0.857143	0.944444	NA
chr15_59439955_59440123	0	NA	NA	NA	NA	NA
chr11_93702776_93702919	NA	NA	NA	NA	NA	NA
chr1_201893554_201893727	NA	NA	0.878788	1	NA	NA
chr3_93995874_93995944	NA	NA	0.857143	0.615385	NA	NA
chr11_17501482_17501535	NA	NA	NA	0.923077	NA	NA
chr14_34604135_34604268	0.0930233	0.0477941	0.198347	0.0559006	0.0519481	NA
chr1_33092050_33092222	NA	NA	NA	NA	NA	NA
chr1_110015425_110015531	0.8125	0.846154	0.944724	0.923077	0.909091	NA
chr12_57631200_57631364	NA	NA	NA	NA	NA	NA
chr2_62858406_62858510	0.985507	0.983607	0.0116279	0	0.00909091	NA
chr9_111570091_111570209	NA	NA	0.818182	NA	NA	NA
chr16_53638310_53638411	0.15	NA	0.3	NA	NA	NA
chr2_196901653_196901698	0	0.133333	0.384615	NA	0.0769231	NA
chr1_178299992_178300118	0.95283	0.97561	0.857143	NA	NA	NA
chr2_43577022_43577242	NA	NA	NA	NA	NA	NA
chr16_22097572_22097695	0.425743	NA	0.7	NA	NA	NA
chr2_189694981_189695161	NA	0	NA	NA	NA	NA
chr5_11083881_11083955	0.133333	0.0952381	0.491228	0.176471	NA	NA
chr17_8576639_8576672	0.96	0.96	NA	NA	NA	NA
chr11_8440678_8440753	NA	NA	0.9	NA	NA	NA
chr4_44690717_44690860	NA	NA	NA	NA	NA	NA
chr11_30535994_30536175	0.941176	0.923077	0.909091	NA	0.923077	NA
chr13_72780846_72781003	0.48	0.514286	0.677419	0.333333	0.866667	NA
chr1_39337182_39337331	0.3125	0.4375	0.71371	0.464286	0.826087	NA
chr17_30051118_30051217	NA	NA	NA	NA	NA	NA
chr14_21500913_21501129	0.766667	0.8125	0.897436	0.820513	0.846154	NA
chr16_84162190_84162215	NA	NA	NA	NA	NA	NA
chr2_30459552_30459722	0.105263	0.448276	0.411765	NA	0.285714	NA
chr12_30720811_30720915	0.904255	0.897436	0.6	0.666667	0.5	NA
chr15_62023780_62023845	0.966102	0.961637	0.0194444	0.0147368	0.0130435	0
chr8_143332487_143332601	NA	NA	NA	NA	NA	NA
chr22_41588659_41588767	0.0377358	0.0357143	0.0425532	0.333333	0.0909091	NA
chr12_109579165_109579282	NA	NA	NA	NA	NA	NA
chr17_59131281_59131367	NA	NA	0.6875	NA	NA	NA
chr12_110619836_110619956	0.85	0.727273	0.844828	0.642857	1	NA
chr1_243293091_243293219	0.246377	0.428571	0.647059	0.317757	0.647059	NA
chr6_44950043_44950183	NA	NA	NA	NA	NA	NA
chr2_206755009_206755505	NA	NA	NA	NA	NA	NA
chr5_179851243_179851424	0.444444	0.28	0.137931	0.04	0	NA
chr6_109564080_109564280	NA	NA	NA	NA	NA	NA
chr13_28239579_28239696	NA	NA	NA	NA	NA	NA
chr14_50983376_50983421	1	0.933333	NA	NA	NA	NA
chr16_22250654_22250691	NA	NA	NA	NA	NA	NA
chr8_42049576_42049707	0.769231	0.7	0.136364	0.222222	0.5	NA
chr2_25383836_25383889	0.280488	0.618182	0.2	0.333333	NA	NA
chr4_105456681_105456745	0.4	0.769231	0.666667	0.916667	0.538462	NA
chr16_21612645_21612835	NA	NA	NA	NA	NA	NA
chr7_102483825_102483889	0.727273	1	NA	NA	NA	NA
chr3_1128267_1128377	NA	0	NA	NA	NA	NA
chr2_161947566_161947727	0.923077	0.969697	NA	NA	NA	NA
chr13_45383760_45383838	0.391304	NA	0.75	NA	NA	NA
chr1_176136488_176136547	NA	NA	NA	NA	NA	NA
chr1_100179653_100179721	NA	NA	NA	NA	NA	NA
chr6_31678422_31678628	0.8	0.833333	NA	NA	NA	NA
chr17_38375865_38375966	NA	NA	NA	NA	NA	NA
chr1_52481423_52481635	0.889764	0.870166	0.854447	0.879518	0.848214	NA
chr4_122336881_122337020	NA	NA	0.916667	NA	NA	NA
chr1_83948628_83948695	0.333333	0.352941	NA	0.775862	NA	NA
chr12_50734135_50734196	NA	NA	NA	NA	NA	NA
chr12_57200442_57200535	NA	NA	NA	NA	NA	NA
chr12_95257150_95257239	0.9	1	NA	NA	NA	NA
chr3_9697711_9697866	NA	0.7	0.25	0.647059	NA	NA
chr10_59361026_59361110	0.0784314	0.0185185	0	0.112299	0	NA
chr4_185374319_185374461	1	0.866667	0.852941	NA	NA	NA
chr4_56382477_56382597	0.957371	0.971774	0.93621	0.868293	0.923077	NA
chr16_19035676_19035823	NA	NA	NA	1	NA	NA
chr18_13671862_13671973	0.6	0.736842	0.65	0.818182	NA	NA
chr9_95967459_95967625	0.0648148	0.0352113	0.04	0.0679612	0.125	NA
chr9_74782362_74782476	NA	NA	NA	0.923077	NA	NA
chr8_31068258_31068327	NA	NA	1	NA	NA	NA
chr7_102158560_102158608	NA	NA	NA	NA	NA	NA
chrX_111146521_111146565	0.339623	0.155963	NA	NA	NA	NA
chr4_108760188_108760306	NA	NA	0.855932	NA	NA	NA
chr3_167725401_167725473	0.45098	0.45	0.555556	0.36	0.411765	NA
chr1_36140069_36140166	0.8125	0.95	NA	1	1	NA
chr13_113196181_113196225	0.333333	0.411765	0.307692	NA	NA	NA
chr16_10473923_10473989	NA	NA	NA	NA	NA	NA
chr4_51908920_51908975	0.3	NA	0	0	NA	NA
chr16_24750726_24750813	0.59375	0.560976	0.791667	NA	NA	NA
chr12_25995037_25995130	NA	0.8	0.594595	NA	NA	NA
chr3_114053597_114053635	0.142012	0.121387	0.273256	0.102941	NA	NA
chr1_236831966_236832078	0.914286	0.966667	0.956522	NA	NA	NA
chr1_74714579_74714630	NA	NA	NA	NA	NA	NA
chr17_5463529_5463689	0.476923	0.634146	0.833333	0.689655	0.583333	NA
chr7_148818978_148819059	NA	NA	NA	NA	NA	NA
chr15_49283566_49283718	1	NA	NA	1	NA	NA
chr17_9969677_9969762	0.807692	NA	NA	0.774194	NA	NA
chrX_40071637_40071690	NA	NA	0.8	NA	NA	NA
chr15_43399112_43399174	NA	NA	0.181818	NA	NA	NA
chr9_113187793_113187899	NA	NA	NA	NA	NA	NA
chr20_23395139_23395185	1	1	0.428571	NA	NA	NA
chr1_35466608_35466695	NA	NA	NA	NA	NA	NA
chr10_122392303_122392372	0.774194	0.724138	NA	0.777778	0.733333	NA
chr6_30640535_30640603	NA	NA	0.833333	NA	0.636364	NA
chr16_792718_792811	NA	NA	NA	NA	NA	NA
chr4_158593401_158593499	0.888889	NA	NA	NA	NA	NA
chr1_227582514_227582606	0.461538	NA	0.727273	0.714286	0.545455	NA
chr13_21539657_21539688	0.929607	0.940171	1	0.981132	1	NA
chr1_66755644_66755773	0.0882353	0.0645161	0	NA	NA	NA
chr3_126730561_126730630	0.888889	0.911392	0.892857	0.961538	0.928571	NA
chr13_95943667_95943723	0	0	0.142857	0.636364	NA	NA
chr22_40922333_40922513	NA	NA	NA	NA	NA	NA
chr19_54110051_54110121	NA	NA	1	1	NA	NA
chr10_73519797_73519992	NA	NA	NA	0.0666667	NA	NA
chr18_68716528_68716594	0.901961	1	0.964286	1	NA	NA
chr2_154259021_154259138	0.916667	0.7	NA	NA	0.823529	NA
chr2_159259810_159259843	NA	NA	NA	NA	NA	NA
chr1_232404125_232404178	0.842105	0.933333	0	NA	0.0666667	NA
chr14_39163246_39163361	0.0689655	0.105263	0.0416667	0.0526316	NA	NA
chr2_84528904_84529166	0.466667	NA	NA	NA	NA	NA
chr10_69155812_69155887	0.666667	0.648148	0.75	1	NA	NA
chr12_63661344_63661481	1	NA	NA	NA	NA	NA
chr2_195984632_195984710	0.942308	NA	0.798246	NA	NA	NA
chr1_206599733_206599836	0.136364	0.0681818	0.372881	0.4	NA	NA
chr6_99375940_99376182	0.896552	1	0.916667	NA	NA	NA
chr14_74022916_74023144	0.142857	NA	0.0666667	NA	NA	NA
chr10_26995041_26995147	NA	0.357143	NA	NA	NA	NA
chrX_23874403_23874457	0.8	0.85	0.857143	NA	NA	NA
chr3_171699745_171699826	NA	NA	NA	NA	NA	NA
chrX_63724532_63724711	NA	NA	0.9	NA	NA	NA
chr9_36063795_36063880	0.84375	0.75	1	0.928571	0.944444	NA
chr11_33763206_33763286	0.0555556	0.294118	0.0769231	0.272727	NA	NA
chr2_205158722_205158907	NA	NA	0.851852	NA	NA	NA
chr3_130894590_130894775	1	0.925	0.716981	1	1	NA
chr18_56918072_56918207	NA	NA	NA	NA	NA	NA
chr12_409368_409421	NA	NA	NA	NA	NA	NA
chr5_80169335_80169546	NA	0.95	0.952381	0.918919	1	NA
chr9_105615278_105615407	0.9	1	1	0.846154	NA	NA
chr2_232015514_232015671	0.955696	0.958333	0.958678	0.924051	0.875	NA
chr9_34336229_34336341	NA	NA	NA	0.2	NA	NA
chr19_17618421_17618501	NA	NA	NA	NA	NA	NA
chr19_6690629_6690727	NA	NA	NA	NA	NA	NA
chr12_123655771_123655824	NA	NA	0.909091	NA	NA	NA
chr10_126646565_126646637	NA	NA	0.958333	0.823293	0.705882	NA
chr9_131494405_131494486	NA	NA	NA	NA	NA	NA
chr4_75614255_75614449	0.965517	0.932203	0.958333	0.913043	NA	NA
chr21_28879870_28879953	0.727273	0.55	0.627907	0.682353	0.5	NA
chr9_137012102_137012162	NA	NA	NA	0.75	NA	NA
chr12_4546309_4546418	0.77193	0.583333	0.857143	NA	NA	NA
chr12_116719763_116719876	NA	NA	0.944444	NA	NA	NA
chr17_67886128_67886316	0.957983	0.955224	0.666667	0.892857	0.6	NA
chrX_139761961_139762106	NA	NA	NA	NA	NA	NA
chr12_95040476_95040597	0.824561	0.831169	0.725	0.777778	NA	NA
chr11_19884294_19884362	0.588235	0.6	0	NA	NA	NA
chr2_25455405_25455494	0.0689655	0.016129	NA	0.0588235	NA	NA
chr11_74906239_74906456	NA	NA	NA	NA	NA	NA
chr5_179963471_179963564	0.567568	0.451613	0.935897	0.948052	0.875	NA
chr18_678696_678737	0.285714	0.470588	0.21875	0.462185	0.190476	NA
chr15_59652206_59652326	0.83871	0.733333	0.955556	0.863636	0.823529	NA
chr7_72913765_72913828	NA	NA	NA	NA	NA	NA
chr1_161549011_161549031	NA	NA	NA	NA	NA	NA
chr1_56691394_56691487	NA	NA	NA	NA	NA	NA
chr6_335114_335163	NA	NA	0.6	NA	NA	NA
chr16_67827473_67827579	0.933333	0.962963	0.944444	NA	NA	NA
chr15_83609270_83609466	0.217391	0.127273	NA	0.0986842	NA	NA
chr12_88154288_88154387	NA	NA	NA	NA	NA	NA
chr1_149977426_149977576	NA	NA	0.837838	0.8	NA	NA
chr3_170149086_170149244	0.724138	0.921053	1	0.98	0.875	NA
chr17_80213804_80213885	NA	NA	NA	NA	NA	NA
chr11_121588020_121588151	NA	NA	NA	NA	NA	NA
chr1_146646125_146646260	NA	NA	NA	NA	NA	NA
chr12_323600_323781	0.875	0.7	1	1	1	NA
chr14_23959902_23960003	NA	NA	0.866667	0.956522	NA	NA
chr10_99388152_99388301	0.772727	0.695652	NA	NA	NA	NA
chr4_98095527_98095555	NA	NA	NA	NA	NA	NA
chr5_31521123_31521215	0.823529	0.73913	0.857143	0.583333	NA	NA
chr1_217771819_217771903	NA	NA	0.7	NA	NA	NA
chr2_158338990_158339085	0.833333	0.922078	0.8	NA	NA	NA
chr8_47396376_47396626	0.881579	0.877193	0.710526	0.866667	0.72	NA
chr3_161104785_161104895	0.103448	0.2	0.0833333	NA	NA	NA
chr2_172960760_172960813	0.647059	NA	NA	NA	NA	NA
chr5_137956477_137956542	0	0	0.5	0.185185	NA	NA
chr12_70337756_70337820	0.0227273	0	0.0588235	0.133333	0.0869565	NA
chr10_7783081_7783175	0.872807	0.862805	0.845912	0.951351	0.919192	NA
chr3_12528888_12528924	NA	NA	NA	NA	NA	NA
chrX_53561756_53561924	NA	0.882353	0.958333	0.916667	NA	NA
chr16_84760172_84760275	NA	NA	NA	NA	NA	NA
chr19_32923435_32923542	NA	NA	NA	NA	NA	NA
chr19_57943934_57944060	NA	NA	0.636364	0.769231	NA	NA
chr17_29097788_29097899	NA	1	0.636364	1	NA	NA
chr7_43942954_43943031	NA	NA	NA	NA	NA	NA
chr1_155253859_155253978	NA	NA	NA	NA	NA	NA
chr16_28344693_28344753	NA	NA	NA	NA	NA	NA
chr11_17315386_17315475	0.931818	0.836735	0.757576	0.923077	NA	NA
chr1_169287303_169287408	0.818182	0.666667	0.684211	NA	NA	NA
chr5_83065008_83065117	0.944444	0.9375	0.888889	0.928571	0.909091	NA
chr11_7019683_7019745	NA	NA	NA	NA	NA	NA
chr10_49739661_49739839	1	0.904762	NA	NA	NA	NA
chr19_8369219_8369332	NA	NA	0.924623	NA	NA	NA
chr6_46709327_46709418	0.347826	NA	NA	NA	NA	NA
chr5_147399082_147399252	NA	NA	NA	NA	NA	NA
chr11_85717483_85717530	0.04	NA	0.444444	0.8125	0.522727	NA
chr8_92062546_92062709	0.6	NA	NA	NA	NA	NA
chr1_7786721_7786836	NA	NA	NA	NA	NA	NA
chr7_100097834_100097948	NA	NA	NA	NA	NA	NA
chrX_75293472_75293514	NA	NA	NA	NA	NA	NA
chr6_116715212_116715292	0	NA	NA	NA	NA	NA
chr19_51144912_51144959	NA	NA	NA	NA	NA	NA
chr8_30613326_30613482	0.272727	NA	0	NA	NA	NA
chr1_111454211_111454356	0.857143	0.676471	0.942857	0.95	NA	NA
chr6_109612010_109612093	NA	NA	NA	NA	NA	NA
chr19_6452312_6452479	NA	NA	NA	NA	NA	NA
chr11_8477250_8477283	NA	NA	0.387097	NA	NA	NA
chr2_196650439_196650540	NA	NA	NA	0.3	NA	NA
chr12_54516239_54516295	NA	NA	NA	NA	NA	NA
chr19_34430093_34430186	0.0588235	0.333333	NA	NA	NA	NA
chr2_94818761_94818924	0.25	NA	NA	NA	NA	NA
chr17_12054889_12054991	0.885714	0.866667	0.777778	0.772727	0.909091	NA
chr19_40622401_40622667	NA	NA	NA	NA	NA	NA
chr12_80848099_80848175	0.384615	0.2	NA	NA	NA	NA
chr15_49161740_49161861	NA	NA	NA	NA	NA	NA
chr1_86355647_86355851	0.126214	0.0875	0.16	0.0555556	NA	NA
chr14_80838204_80838278	0.842105	0.933333	NA	0.785714	NA	NA
chr10_68465667_68465812	NA	0.789474	NA	NA	NA	NA
chr5_149839386_149839439	0.227273	0	NA	NA	NA	NA
chr9_78265859_78265906	0.88	0.684211	0.84375	0.928571	0.666667	NA
chr16_22096859_22096945	0.737374	NA	0.8	NA	NA	NA
chr3_10840939_10840993	0	0	0.078534	NA	0.1	NA
chr7_76013742_76013887	NA	NA	0.842105	0.95	NA	NA
chr6_41150261_41150313	NA	NA	NA	NA	NA	NA
chr5_43509145_43509375	0.742857	NA	NA	NA	NA	NA
chr9_134049676_134049757	NA	NA	NA	NA	NA	NA
chr12_25144365_25144677	0.826087	0.882353	0.615385	NA	NA	NA
chr4_179566_179647	NA	NA	NA	NA	NA	NA
chr17_68452910_68452992	0.916667	0.923077	0.954545	0.931034	NA	NA
chr7_51025109_51025372	NA	0.9	NA	0.896552	NA	NA
chr9_20850788_20850824	0.142857	NA	NA	NA	NA	NA
chr2_33364216_33364356	NA	NA	0.928571	NA	NA	NA
chr9_105356212_105356381	0.181818	NA	NA	1	1	NA
chr20_50904766_50904849	0	NA	NA	NA	NA	NA
chr7_33146242_33146364	NA	0.909091	0.769231	NA	NA	NA
chr6_33287614_33287718	NA	NA	NA	NA	NA	NA
chr2_164727106_164727144	NA	NA	NA	NA	NA	NA
chrX_35941283_35941398	NA	NA	0.852941	NA	NA	NA
chr8_822092_822193	0.615385	0.573529	NA	NA	NA	NA
chr14_67864788_67864885	0	NA	0.0208333	0.181818	0.0833333	NA
chrX_75450802_75450922	NA	NA	NA	NA	NA	NA
chr1_1220657_1220730	NA	NA	0	0	NA	NA
chr16_4871155_4871301	NA	NA	NA	NA	NA	NA
chr17_59257122_59257240	0.789474	0.766667	1	0.8	NA	NA
chr6_89154748_89154902	NA	NA	NA	NA	NA	NA
chr11_49185669_49185855	NA	NA	NA	0.490909	NA	NA
chr6_31792986_31793120	NA	NA	NA	NA	NA	NA
chr8_97699754_97699852	0.4	0.365385	0.697917	0.752212	0.611111	NA
chr14_31787780_31787873	0.815789	0.74	0.885714	0.8	0.666667	NA
chr7_45071750_45071872	NA	NA	0.0666667	0.166667	NA	NA
chr7_35132310_35132369	0.868132	0.913043	NA	NA	NA	NA
chr1_180073786_180073908	0.727273	0.666667	0.0327869	0	NA	NA
chr12_21452081_21452154	NA	NA	NA	NA	NA	NA
chr5_140194446_140194652	NA	NA	0.953125	0.9	NA	1
chr4_27002927_27003104	1	0.967742	0.815789	0.705882	0.916667	NA
chr2_95405553_95405803	NA	0.636364	0.956522	0.952381	NA	NA
chr12_879573_880031	0.52	NA	NA	0	NA	NA
chr3_41882204_41882280	0.142857	0.2	0.142857	NA	NA	NA
chr15_72168491_72168566	NA	NA	0.923077	NA	NA	NA
chr2_33293160_33293282	NA	NA	0.923077	NA	NA	NA
chr19_52711203_52711304	NA	NA	NA	0.0833333	NA	NA
chr2_209984856_209984912	0.946667	0.666667	NA	NA	NA	NA
chr15_50732603_50732684	0.909091	0.727273	0.921569	0.933333	1	NA
chr11_20397577_20397721	NA	NA	NA	NA	NA	NA
chr10_12180395_12180489	0.148148	0.218182	0.0612245	0.06	0.2	NA
chr2_73829405_73829510	NA	NA	NA	0.181818	NA	NA
chr6_89662792_89662967	0.87619	0.921986	0.960699	0.970588	1	NA
chr19_43831318_43831381	1	0.8	0.807692	0.95	0.9	NA
chr17_31884963_31885038	0	0	0.149254	0	NA	NA
chr12_109959847_109959958	0.785714	0.947368	1	NA	NA	NA
chr14_35116610_35116737	0.575758	0.46875	0.840909	0.533333	0.692308	NA
chr12_19346994_19347182	0.62406	0.753425	0	NA	NA	NA
chr8_52221640_52221793	NA	NA	NA	0.5625	NA	NA
chr16_88660520_88660637	0.913043	0.95	0.466667	NA	0.5	NA
chr17_78005058_78005079	0.769231	0.733333	NA	0.571429	NA	NA
chr1_185202654_185202799	NA	NA	0.823529	1	NA	NA
chr19_1387811_1387847	0.8	0.911765	0.875	0.947368	1	NA
chr2_218534609_218534706	NA	0.785714	0.833333	0.833333	NA	NA
chr15_43178607_43178711	NA	NA	NA	NA	NA	NA
chr1_77859314_77859386	NA	NA	NA	1	NA	NA
chr12_54510349_54510466	NA	NA	NA	NA	NA	NA
chr15_43190055_43190151	0.806452	0.769231	0.62069	0.675676	0.666667	NA
chr10_73839539_73839601	0.5	0.384615	0.025	NA	NA	NA
chr6_37473470_37473601	NA	NA	NA	NA	NA	NA
chr13_113981675_113981858	NA	NA	NA	NA	NA	NA
chr6_89715653_89715769	NA	NA	NA	NA	NA	NA
chr6_30741792_30741867	0.9375	0.983051	0.902778	0.96	0.966667	NA
chr11_19879869_19880127	0.75	0.818182	0.964286	NA	NA	NA
chr15_41742546_41743172	0.823529	1	1	0.916667	NA	NA
chr8_100596639_100596842	0.764706	NA	NA	NA	NA	NA
chr19_14492857_14492912	0.533333	NA	NA	0.6	NA	NA
chr8_47407861_47407961	1	0.869565	0.85	0.9	0.571429	NA
chr4_105241339_105241429	NA	NA	NA	NA	NA	NA
chr7_44284131_44284225	1	0.978261	0.810811	NA	0.9	NA
chr5_150228192_150228286	0.909091	NA	NA	NA	NA	NA
chr6_109448203_109448393	0.909091	NA	NA	NA	NA	NA
chr7_65970282_65970366	0.414013	0.446809	0.529412	0.633333	0.384615	NA
chr1_150327557_150327652	0.202247	0.276923	0.345794	0.428571	0.294118	NA
chr3_101501070_101501119	0.834395	0.743151	0.85347	0.81592	0.805369	NA
chr15_72019039_72019095	0.9	NA	0.681818	NA	NA	NA
chr18_14810108_14810180	0.533333	0.521739	NA	NA	NA	NA
chr15_42817032_42817097	NA	NA	NA	NA	NA	NA
chr10_103105358_103105381	0	0	0.0555556	0.166667	0	NA
chr1_206459585_206459679	NA	NA	NA	NA	NA	NA
chr15_89217120_89217324	NA	NA	0.896552	NA	NA	NA
chr6_30492404_30492436	NA	NA	0.958333	NA	0.846154	0.806452
chr19_53202552_53202702	NA	0.7	0.172414	0.15	NA	NA
chr6_118960769_118960863	0.015625	0.0333333	0.301587	0.133333	0.285714	NA
chr7_152195522_152195569	NA	NA	NA	0.0909091	NA	NA
chr20_59885462_59885509	0.54	0.7	0.1	NA	0.6	NA
chr15_61884128_61884269	1	0.84	0.960526	0.886364	0.769231	NA
chr2_55528878_55528992	0.939394	0.905405	0.927536	0.833333	0.857143	NA
chr12_94435275_94435327	0.384615	0.264706	0.372549	0.631579	0.176471	NA
chr2_158345215_158345318	0.157895	0.177419	0.2	NA	NA	NA
chr10_22946144_22946261	NA	NA	NA	NA	NA	NA
chr10_69483691_69483876	NA	NA	0.916667	0.930233	NA	NA
chrX_41217220_41217343	NA	NA	NA	NA	NA	NA
chrX_41555600_41555635	NA	NA	NA	NA	NA	NA
chr18_79213962_79214038	NA	NA	NA	NA	NA	NA
chr6_24409461_24409573	0.944444	0.882353	0.944444	1	NA	NA
chr14_102039412_102039546	NA	NA	NA	NA	NA	NA
chr6_89857084_89857199	0.939024	0.965909	0.931818	0.9375	1	NA
chr13_43326419_43326525	0.318182	0.291667	NA	0.190476	NA	NA
chr10_102716234_102716329	NA	NA	NA	NA	NA	NA
chr15_42783419_42783635	NA	0.909091	NA	NA	NA	NA
chr4_75521736_75521861	1	1	0.931034	0.789474	0.769231	NA
chr7_105110477_105110602	NA	NA	NA	NA	NA	NA
chr22_40270122_40270280	NA	NA	NA	NA	NA	NA
chrX_74612582_74612643	NA	0.2	0.136364	NA	NA	NA
chr22_20721298_20721418	0.857143	NA	1	NA	NA	NA
chr15_43347016_43347096	0.875	NA	0.961538	NA	NA	NA
